County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Barrington;9;9;3859;5006;71;
Bristol;12;12;3822;6013;96;
Burrillville;7;7;2913;3062;58;
Central Falls;9;9;718;2503;14;
Charlestown;8;8;1742;2181;38;
Coventry;20;20;7043;8105;164;
Cranston;51;51;13898;19454;279;
Cumberland;19;19;6771;8367;130;
East Greenwich;9;9;3449;3051;73;
East Providence;27;27;6161;13040;154;
Exeter;4;4;1382;1458;42;
Foster;3;3;1080;1171;37;
Glocester;6;6;2737;2800;67;
Hopkinton;4;4;1546;1773;66;
Jamestown;4;4;1276;1975;55;
Johnston;19;19;5637;7484;86;
Lincoln;17;17;4824;5589;88;
Little Compton;3;3;969;1100;34;
Middletown;9;9;2976;3788;66;
Narragansett;12;12;3225;4643;73;
New Shoreham;2;2;279;589;21;
Newport;15;15;3419;6048;100;
North Kingstown;15;15;6132;6994;134;
North Providence;19;19;5519;9405;90;
North Smithfield;7;7;2595;2827;53;
Pawtucket;35;35;6136;14996;168;
Portsmouth;13;13;4040;4508;78;
Providence;102;102;9346;34299;502;
Richmond;5;5;1556;1794;53;
Scituate;6;6;2843;2411;74;
Smithfield;11;11;4221;4576;96;
South Kingstown;13;13;4726;7580;140;
Tiverton;9;9;2857;4104;63;
Warren;6;6;1752;2742;49;
Warwick;54;54;15400;21472;350;
West Greenwich;4;4;1419;1271;44;
West Warwick;16;16;4497;6353;91;
Westerly;15;15;4499;5683;103;
Woonsocket;17;17;4390;7192;90;
