   County Total Precincts Precincts Reporting Bush Kerry Nader
   Barrington 9 9 3,859 5,006 71
   Bristol 12 12 3,822 6,013 96
   Burrillville 7 7 2,913 3,062 58
   Central Falls 9 9 718 2,503 14
   Charlestown 8 8 1,742 2,181 38
   Coventry 20 20 7,043 8,105 164
   Cranston 51 51 13,898 19,454 279
   Cumberland 19 19 6,771 8,367 130
   East Greenwich 9 9 3,449 3,051 73
   East Providence 27 27 6,161 13,040 154
   Exeter 4 4 1,382 1,458 42
   Foster 3 3 1,080 1,171 37
   Glocester 6 6 2,737 2,800 67
   Hopkinton 4 4 1,546 1,773 66
   Jamestown 4 4 1,276 1,975 55
   Johnston 19 19 5,637 7,484 86
   Lincoln 17 17 4,824 5,589 88
   Little Compton 3 3 969 1,100 34
   Middletown 9 9 2,976 3,788 66
   Narragansett 12 12 3,225 4,643 73
   New Shoreham 2 2 279 589 21
   Newport 15 15 3,419 6,048 100
   North Kingstown 15 15 6,132 6,994 134
   North Providence 19 19 5,519 9,405 90
   North Smithfield 7 7 2,595 2,827 53
   Pawtucket 35 35 6,136 14,996 168
   Portsmouth 13 13 4,040 4,508 78
   Providence 102 102 9,346 34,299 502
   Richmond 5 5 1,556 1,794 53
   Scituate 6 6 2,843 2,411 74
   Smithfield 11 11 4,221 4,576 96
   South Kingstown 13 13 4,726 7,580 140
   Tiverton 9 9 2,857 4,104 63
   Warren 6 6 1,752 2,742 49
   Warwick 54 54 15,400 21,472 350
   West Greenwich 4 4 1,419 1,271 44
   West Warwick 16 16 4,497 6,353 91
   Westerly 15 15 4,499 5,683 103
   Woonsocket 17 17 4,390 7,192 90
