County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Abbeville;14;14;5435;4389;28;
Aiken;80;80;38912;19687;197;
Allendale;8;8;984;2563;6;
Anderson;76;76;43313;20670;224;
Bamberg;13;13;2135;3837;5;
Barnwell;15;15;4602;3979;18;
Beaufort;76;76;33234;21462;217;
Berkeley;52;52;32042;20102;150;
Calhoun;14;14;3447;3390;25;
Charleston;186;186;62179;57249;538;
Cherokee;33;33;12064;6443;62;
Chester;22;22;5205;5200;42;
Chesterfield;29;29;7176;6642;29;
Clarendon;25;25;6035;7050;21;
Colleton;32;32;7242;6672;57;
Darlington;33;33;13406;11811;52;
Dillon;20;20;4293;4831;22;
Dorchester;53;53;26006;14733;148;
Edgefield;11;11;5611;4051;22;
Fairfield;22;22;3515;5748;15;
Florence;71;71;27488;21267;136;
Georgetown;43;43;12420;10456;161;
Greenville;137;137;109292;54286;637;
Greenwood;33;33;14136;8859;75;
Hampton;18;18;3093;4814;11;
Horry;108;108;50382;29489;309;
Jasper;14;14;2929;3828;28;
Kershaw;30;30;14160;8515;76;
Lancaster;27;27;12916;7631;104;
Laurens;37;37;14367;9109;63;
Lee;26;26;2891;4900;10;
Lexington;75;75;67030;25341;293;
Marion;17;17;5037;6876;22;
Marlboro;15;15;3423;4984;30;
McCormick;10;10;2445;2643;9;
Newberry;31;31;7313;4286;75;
Oconee;30;30;18715;8326;125;
Orangeburg;62;62;12676;24655;65;
Pickens;52;52;29706;10272;139;
Richland;124;124;55922;75863;467;
Saluda;19;19;4499;2989;25;
Spartanburg;92;92;61892;33545;300;
Sumter;62;62;18037;18631;75;
Union;23;23;6592;5036;35;
Williamsburg;33;33;4793;9039;25;
York;60;60;45180;24201;258;
