   County Total Precincts Precincts Reporting Bush Kerry Nader
   Abbeville 14 14 5,435 4,389 28
   Aiken 80 80 38,912 19,687 197
   Allendale 8 8 984 2,563 6
   Anderson 76 76 43,313 20,670 224
   Bamberg 13 13 2,135 3,837 5
   Barnwell 15 15 4,602 3,979 18
   Beaufort 76 76 33,234 21,462 217
   Berkeley 52 52 32,042 20,102 150
   Calhoun 14 14 3,447 3,390 25
   Charleston 186 186 62,179 57,249 538
   Cherokee 33 33 12,064 6,443 62
   Chester 22 22 5,205 5,200 42
   Chesterfield 29 29 7,176 6,642 29
   Clarendon 25 25 6,035 7,050 21
   Colleton 32 32 7,242 6,672 57
   Darlington 33 33 13,406 11,811 52
   Dillon 20 20 4,293 4,831 22
   Dorchester 53 53 26,006 14,733 148
   Edgefield 11 11 5,611 4,051 22
   Fairfield 22 22 3,515 5,748 15
   Florence 71 71 27,488 21,267 136
   Georgetown 43 43 12,420 10,456 161
   Greenville 137 137 109,292 54,286 637
   Greenwood 33 33 14,136 8,859 75
   Hampton 18 18 3,093 4,814 11
   Horry 108 108 50,382 29,489 309
   Jasper 14 14 2,929 3,828 28
   Kershaw 30 30 14,160 8,515 76
   Lancaster 27 27 12,916 7,631 104
   Laurens 37 37 14,367 9,109 63
   Lee 26 26 2,891 4,900 10
   Lexington 75 75 67,030 25,341 293
   Marion 17 17 5,037 6,876 22
   Marlboro 15 15 3,423 4,984 30
   McCormick 10 10 2,445 2,643 9
   Newberry 31 31 7,313 4,286 75
   Oconee 30 30 18,715 8,326 125
   Orangeburg 62 62 12,676 24,655 65
   Pickens 52 52 29,706 10,272 139
   Richland 124 124 55,922 75,863 467
   Saluda 19 19 4,499 2,989 25
   Spartanburg 92 92 61,892 33,545 300
   Sumter 62 62 18,037 18,631 75
   Union 23 23 6,592 5,036 35
   Williamsburg 33 33 4,793 9,039 25
   York 60 60 45,180 24,201 258
