County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Aurora;7;7;1009;620;15;
Beadle;21;21;4917;3443;77;
Bennett;8;8;833;759;16;
Bon Homme;5;5;2063;1293;36;
Brookings;15;15;7662;5443;190;
Brown;22;22;10386;7943;197;
Brule;5;5;1544;1040;30;
Buffalo;3;3;223;603;10;
Butte;16;16;3162;1009;45;
Campbell;5;5;708;239;4;
Charles Mix;13;13;2555;2155;73;
Clark;13;13;1435;875;11;
Clay;12;12;2692;3313;95;
Codington;33;33;7778;4803;135;
Corson;17;17;720;971;14;
Custer;10;10;2922;1272;58;
Davison;21;21;5561;3262;94;
Day;14;14;1670;1817;32;
Deuel;11;11;1406;961;25;
Dewey;13;13;921;1606;26;
Douglas;5;5;1596;393;14;
Edmunds;7;7;1434;765;19;
Fall River;17;17;2409;1323;67;
Faulk;11;11;945;418;5;
Grant;19;19;2392;1633;43;
Gregory;3;3;1685;813;36;
Haakon;6;6;1007;219;7;
Hamlin;7;7;1946;1015;37;
Hand;12;12;1482;668;29;
Hanson;8;8;1379;745;23;
Harding;10;10;704;94;13;
Hughes;18;18;6017;2697;76;
Hutchinson;10;10;2898;1178;49;
Hyde;5;5;631;259;6;
Jackson;8;8;726;508;21;
Jerauld;5;5;736;482;13;
Jones;5;5;565;134;11;
Kingsbury;6;6;1804;1163;34;
Lake;18;18;3359;2508;108;
Lawrence;11;11;7489;3857;176;
Lincoln;22;22;11158;5703;140;
Lyman;7;7;1029;871;21;
Marshall;9;9;1241;1099;14;
McCook;6;6;2017;1201;38;
McPherson;6;6;1180;369;18;
Meade;37;37;8341;2939;117;
Mellette;4;4;553;361;10;
Miner;8;8;810;641;13;
Minnehaha;69;69;44180;32303;803;
Moody;6;6;1790;1609;36;
Pennington;46;46;29972;14213;540;
Perkins;10;10;1329;418;25;
Potter;8;8;1143;463;9;
Roberts;14;14;2394;2525;49;
Sanborn;7;7;817;581;19;
Shannon;10;10;526;3563;70;
Spink;9;9;2259;1478;27;
Stanley;8;8;1129;464;20;
Sully;6;6;702;201;14;
Todd;9;9;889;2543;46;
Tripp;13;13;2230;972;29;
Turner;8;8;3084;1646;81;
Union;13;13;3987;3000;43;
Walworth;15;15;1967;887;20;
Yankton;14;14;6000;4236;129;
Ziebach;8;8;447;640;16;
