   County Total Precincts Precincts Reporting Bush Kerry Nader
   Aurora 7 7 1,009 620 15
   Beadle 21 21 4,917 3,443 77
   Bennett 8 8 833 759 16
   Bon Homme 5 5 2,063 1,293 36
   Brookings 15 15 7,662 5,443 190
   Brown 22 22 10,386 7,943 197
   Brule 5 5 1,544 1,040 30
   Buffalo 3 3 223 603 10
   Butte 16 16 3,162 1,009 45
   Campbell 5 5 708 239 4
   Charles Mix 13 13 2,555 2,155 73
   Clark 13 13 1,435 875 11
   Clay 12 12 2,692 3,313 95
   Codington 33 33 7,778 4,803 135
   Corson 17 17 720 971 14
   Custer 10 10 2,922 1,272 58
   Davison 21 21 5,561 3,262 94
   Day 14 14 1,670 1,817 32
   Deuel 11 11 1,406 961 25
   Dewey 13 13 921 1,606 26
   Douglas 5 5 1,596 393 14
   Edmunds 7 7 1,434 765 19
   Fall River 17 17 2,409 1,323 67
   Faulk 11 11 945 418 5
   Grant 19 19 2,392 1,633 43
   Gregory 3 3 1,685 813 36
   Haakon 6 6 1,007 219 7
   Hamlin 7 7 1,946 1,015 37
   Hand 12 12 1,482 668 29
   Hanson 8 8 1,379 745 23
   Harding 10 10 704 94 13
   Hughes 18 18 6,017 2,697 76
   Hutchinson 10 10 2,898 1,178 49
   Hyde 5 5 631 259 6
   Jackson 8 8 726 508 21
   Jerauld 5 5 736 482 13
   Jones 5 5 565 134 11
   Kingsbury 6 6 1,804 1,163 34
   Lake 18 18 3,359 2,508 108
   Lawrence 11 11 7,489 3,857 176
   Lincoln 22 22 11,158 5,703 140
   Lyman 7 7 1,029 871 21
   Marshall 9 9 1,241 1,099 14
   McCook 6 6 2,017 1,201 38
   McPherson 6 6 1,180 369 18
   Meade 37 37 8,341 2,939 117
   Mellette 4 4 553 361 10
   Miner 8 8 810 641 13
   Minnehaha 69 69 44,180 32,303 803
   Moody 6 6 1,790 1,609 36
   Pennington 46 46 29,972 14,213 540
   Perkins 10 10 1,329 418 25
   Potter 8 8 1,143 463 9
   Roberts 14 14 2,394 2,525 49
   Sanborn 7 7 817 581 19
   Shannon 10 10 526 3,563 70
   Spink 9 9 2,259 1,478 27
   Stanley 8 8 1,129 464 20
   Sully 6 6 702 201 14
   Todd 9 9 889 2,543 46
   Tripp 13 13 2,230 972 29
   Turner 8 8 3,084 1,646 81
   Union 13 13 3,987 3,000 43
   Walworth 15 15 1,967 887 20
   Yankton 14 14 6,000 4,236 129
   Ziebach 8 8 447 640 16
