County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Anderson;30;30;18510;12896;147;
Bedford;19;19;8348;5261;54;
Benton;7;7;3161;3869;34;
Bledsoe;16;16;2849;1927;13;
Blount;53;53;33240;15042;204;
Bradley;18;18;25942;9426;132;
Campbell;22;22;7859;6163;54;
Cannon;10;10;2923;2510;21;
Carroll;23;23;6603;5070;56;
Carter;22;22;15763;6390;25;
Cheatham;9;9;9676;5918;56;
Chester;16;16;4086;2182;18;
Claiborne;21;21;6447;4033;31;
Clay;7;7;1647;1673;15;
Cocke;20;20;8290;3932;50;
Coffee;25;25;11785;8238;70;
Crockett;12;12;3239;2455;12;
Cumberland;29;29;15142;8326;86;
Davidson;174;174;107618;132362;988;
Decatur;13;13;2566;2268;25;
DeKalb;17;17;3685;3445;32;
Dickson;19;19;10557;8592;78;
Dyer;16;16;8447;5287;55;
Fayette;17;17;8960;5692;39;
Fentress;14;14;4293;2371;24;
Franklin;18;18;9126;7797;81;
Gibson;40;40;10596;8509;72;
Giles;15;15;6162;5273;66;
Grainger;11;11;4905;2569;27;
Greene;40;40;16374;7625;97;
Grundy;14;14;2102;2787;19;
Hamblen;18;18;14733;7426;89;
Hamilton;126;126;78513;57268;506;
Hancock;8;8;1756;776;7;
Hardeman;14;14;4702;5683;33;
Hardin;19;19;6087;3834;22;
Hawkins;22;22;13445;6683;64;
Haywood;21;21;3140;4359;24;
Henderson;16;16;6585;3448;39;
Henry;14;14;7337;5728;64;
Hickman;18;18;4359;4261;26;
Houston;8;8;1438;2126;17;
Humphreys;10;10;3261;4485;25;
Jackson;17;17;2024;2996;14;
Jefferson;11;11;11617;5469;73;
Johnson;13;13;4632;1810;20;
Knox;96;96;110653;65921;699;
Lake;4;4;1039;1317;8;
Lauderdale;17;17;4164;4472;0;
Lawrence;30;30;9952;6592;57;
Lewis;9;9;2819;2191;31;
Lincoln;21;21;7827;4546;31;
Loudon;16;16;14041;5706;57;
Macon;10;10;4672;2739;18;
Madison;33;33;21672;16837;92;
Marion;29;29;5862;5548;45;
Marshall;9;9;5825;4722;45;
Maury;23;23;17495;12372;94;
McMinn;16;16;11966;5878;79;
McNairy;20;20;5787;4101;30;
Meigs;7;7;2499;1595;21;
Monroe;13;13;10113;5349;53;
Montgomery;24;24;28615;20061;191;
Moore;6;6;1667;1084;8;
Morgan;13;13;4401;2924;0;
Obion;13;13;7859;5549;65;
Overton;16;16;3941;4518;27;
Perry;11;11;1520;1579;25;
Pickett;10;10;1600;1033;10;
Polk;12;12;3923;2724;27;
Putnam;44;44;15619;10549;131;
Rhea;16;16;7288;3663;41;
Roane;26;26;14423;8676;87;
Robertson;20;20;15329;9863;87;
Rutherford;48;48;52189;31639;343;
Scott;11;11;4508;3085;21;
Sequatchie;11;11;2950;1986;21;
Sevier;20;20;22127;8613;116;
Shelby;283;283;157591;215810;1199;
Smith;9;9;3738;4038;26;
Stewart;10;10;2675;2860;33;
Sullivan;37;37;42526;19626;218;
Sumner;37;37;40141;21439;213;
Tipton;23;23;14178;7379;74;
Trousdale;11;11;1314;1850;9;
Unicoi;9;9;5026;2372;31;
Union;10;10;4145;2524;16;
Van Buren;8;8;1119;1209;9;
Warren;22;22;7502;6803;60;
Washington;41;41;29720;14937;176;
Wayne;15;15;3998;1951;17;
Weakley;10;10;7816;5584;56;
White;12;12;5268;4147;49;
Williamson;35;35;57409;21719;239;
Wilson;36;36;28896;15256;143;
