   County Total Precincts Precincts Reporting Bush Kerry Nader
   Anderson 30 30 18,510 12,896 147
   Bedford 19 19 8,348 5,261 54
   Benton 7 7 3,161 3,869 34
   Bledsoe 16 16 2,849 1,927 13
   Blount 53 53 33,240 15,042 204
   Bradley 18 18 25,942 9,426 132
   Campbell 22 22 7,859 6,163 54
   Cannon 10 10 2,923 2,510 21
   Carroll 23 23 6,603 5,070 56
   Carter 22 22 15,763 6,390 25
   Cheatham 9 9 9,676 5,918 56
   Chester 16 16 4,086 2,182 18
   Claiborne 21 21 6,447 4,033 31
   Clay 7 7 1,647 1,673 15
   Cocke 20 20 8,290 3,932 50
   Coffee 25 25 11,785 8,238 70
   Crockett 12 12 3,239 2,455 12
   Cumberland 29 29 15,142 8,326 86
   Davidson 174 174 107,618 132,362 988
   Decatur 13 13 2,566 2,268 25
   DeKalb 17 17 3,685 3,445 32
   Dickson 19 19 10,557 8,592 78
   Dyer 16 16 8,447 5,287 55
   Fayette 17 17 8,960 5,692 39
   Fentress 14 14 4,293 2,371 24
   Franklin 18 18 9,126 7,797 81
   Gibson 40 40 10,596 8,509 72
   Giles 15 15 6,162 5,273 66
   Grainger 11 11 4,905 2,569 27
   Greene 40 40 16,374 7,625 97
   Grundy 14 14 2,102 2,787 19
   Hamblen 18 18 14,733 7,426 89
   Hamilton 126 126 78,513 57,268 506
   Hancock 8 8 1,756 776 7
   Hardeman 14 14 4,702 5,683 33
   Hardin 19 19 6,087 3,834 22
   Hawkins 22 22 13,445 6,683 64
   Haywood 21 21 3,140 4,359 24
   Henderson 16 16 6,585 3,448 39
   Henry 14 14 7,337 5,728 64
   Hickman 18 18 4,359 4,261 26
   Houston 8 8 1,438 2,126 17
   Humphreys 10 10 3,261 4,485 25
   Jackson 17 17 2,024 2,996 14
   Jefferson 11 11 11,617 5,469 73
   Johnson 13 13 4,632 1,810 20
   Knox 96 96 110,653 65,921 699
   Lake 4 4 1,039 1,317 8
   Lauderdale 17 17 4,164 4,472 0
   Lawrence 30 30 9,952 6,592 57
   Lewis 9 9 2,819 2,191 31
   Lincoln 21 21 7,827 4,546 31
   Loudon 16 16 14,041 5,706 57
   Macon 10 10 4,672 2,739 18
   Madison 33 33 21,672 16,837 92
   Marion 29 29 5,862 5,548 45
   Marshall 9 9 5,825 4,722 45
   Maury 23 23 17,495 12,372 94
   McMinn 16 16 11,966 5,878 79
   McNairy 20 20 5,787 4,101 30
   Meigs 7 7 2,499 1,595 21
   Monroe 13 13 10,113 5,349 53
   Montgomery 24 24 28,615 20,061 191
   Moore 6 6 1,667 1,084 8
   Morgan 13 13 4,401 2,924 0
   Obion 13 13 7,859 5,549 65
   Overton 16 16 3,941 4,518 27
   Perry 11 11 1,520 1,579 25
   Pickett 10 10 1,600 1,033 10
   Polk 12 12 3,923 2,724 27
   Putnam 44 44 15,619 10,549 131
   Rhea 16 16 7,288 3,663 41
   Roane 26 26 14,423 8,676 87
   Robertson 20 20 15,329 9,863 87
   Rutherford 48 48 52,189 31,639 343
   Scott 11 11 4,508 3,085 21
   Sequatchie 11 11 2,950 1,986 21
   Sevier 20 20 22,127 8,613 116
   Shelby 283 283 157,591 215,810 1,199
   Smith 9 9 3,738 4,038 26
   Stewart 10 10 2,675 2,860 33
   Sullivan 37 37 42,526 19,626 218
   Sumner 37 37 40,141 21,439 213
   Tipton 23 23 14,178 7,379 74
   Trousdale 11 11 1,314 1,850 9
   Unicoi 9 9 5,026 2,372 31
   Union 10 10 4,145 2,524 16
   Van Buren 8 8 1,119 1,209 9
   Warren 22 22 7,502 6,803 60
   Washington 41 41 29,720 14,937 176
   Wayne 15 15 3,998 1,951 17
   Weakley 10 10 7,816 5,584 56
   White 12 12 5,268 4,147 49
   Williamson 35 35 57,409 21,719 239
   Wilson 36 36 28,896 15,256 143
