County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Anderson;25;25;11495;4664;0;
Andrews;5;5;3837;677;0;
Angelina;47;47;18920;9293;0;
Aransas;7;7;6567;2639;0;
Archer;15;15;3545;877;0;
Armstrong;8;8;826;170;0;
Atascosa;24;24;7596;4397;0;
Austin;20;20;8064;2579;0;
Bailey;7;7;1775;525;0;
Bandera;11;11;6911;1730;0;
Bastrop;22;22;13281;9785;0;
Baylor;5;5;1169;467;0;
Bee;18;18;5424;4041;0;
Bell;48;48;51776;26941;0;
Bexar;686;686;259762;210354;0;
Blanco;9;9;3271;1266;0;
Borden;8;8;303;55;0;
Bosque;17;17;5720;1808;0;
Bowie;37;37;21778;11872;0;
Brazoria;76;76;63611;28873;0;
Brazos;81;81;37523;16090;0;
Brewster;9;9;1978;1726;0;
Briscoe;7;7;619;191;0;
Brooks;10;10;844;1820;0;
Brown;19;19;11638;2523;0;
Burleson;16;16;4403;2275;0;
Burnet;24;24;11449;4145;0;
Caldwell;27;27;6429;5045;0;
Calhoun;26;26;4347;2561;0;
Callahan;8;8;4536;1072;0;
Cameron;95;95;34689;33887;0;
Camp;13;13;2636;1776;0;
Carson;10;10;2446;485;0;
Cass;26;26;7544;4667;0;
Castro;10;10;1794;630;0;
Chambers;14;14;8618;2951;0;
Cherokee;29;29;11310;4432;0;
Childress;5;5;1629;511;0;
Clay;17;17;3964;1298;0;
Cochran;7;7;856;249;0;
Coke;5;5;1338;266;0;
Coleman;15;15;3034;778;0;
Collin;163;163;173014;68312;0;
Collingsworth;8;8;1051;346;0;
Colorado;13;13;5484;2159;0;
Comal;27;27;31544;9138;0;
Comanche;17;17;3710;1431;0;
Concho;9;9;861;250;0;
Cooke;26;26;11897;3136;0;
Coryell;21;21;12359;5088;0;
Cottle;6;6;549;214;0;
Crane;5;5;1314;254;0;
Crockett;5;5;1248;473;0;
Crosby;9;9;1647;621;0;
Culberson;6;6;407;375;0;
Dallam;10;10;1370;305;0;
Dallas;720;720;345482;335871;0;
Dawson;12;12;3419;1114;0;
De Witt;17;17;5095;1610;0;
Deaf Smith;9;9;4139;1133;0;
Delta;11;11;1447;627;0;
Denton;141;141;140541;59163;0;
Dickens;7;7;815;245;0;
Dimmit;8;8;1188;2365;0;
Donley;10;10;1420;340;0;
Duval;12;12;1160;2916;0;
Eastland;10;10;5247;1582;0;
Ector;36;36;27502;8579;0;
Edwards;6;6;745;217;0;
El Paso;170;170;73046;94879;0;
Ellis;46;46;34577;11618;0;
Erath;26;26;9499;2408;0;
Falls;14;14;3378;2125;0;
Fannin;20;20;7892;4000;0;
Fayette;28;28;7526;2803;0;
Fisher;11;11;1161;757;0;
Floyd;11;11;2007;567;0;
Foard;5;5;347;235;0;
Fort Bend;142;142;93554;68655;0;
Franklin;9;9;2917;908;0;
Freestone;16;16;5053;2070;0;
Frio;11;11;1985;1928;0;
Gaines;9;9;3538;608;0;
Galveston;102;102;61290;43919;0;
Garza;7;7;1479;326;0;
Gillespie;15;15;9294;2102;0;
Glasscock;5;5;488;44;0;
Goliad;12;12;2266;1219;0;
Gonzales;16;16;4290;1707;0;
Gray;8;8;7258;1289;0;
Grayson;55;55;34679;15062;0;
Gregg;24;24;29931;12297;0;
Grimes;15;15;5263;2713;0;
Guadalupe;31;31;28192;10280;0;
Hale;30;30;8011;2074;0;
Hall;8;8;858;412;0;
Hamilton;12;12;2855;845;0;
Hansford;9;9;1892;243;0;
Hardeman;6;6;1214;480;0;
Hardin;20;20;14844;5519;0;
Harris;914;914;580553;472320;0;
Harrison;30;30;16456;9637;0;
Hartley;7;7;1735;315;0;
Haskell;11;11;1137;611;0;
Hays;37;37;26991;20086;0;
Hemphill;9;9;1380;257;0;
Henderson;32;32;20182;8496;0;
Hidalgo;141;141;51438;63035;0;
Hill;26;26;9223;3750;0;
Hockley;17;17;6158;1385;0;
Hood;16;16;16265;4862;0;
Hopkins;22;22;8580;3439;0;
Houston;22;22;5848;2921;0;
Howard;20;20;7479;2663;0;
Hudspeth;6;6;577;302;0;
Hunt;37;37;20065;7971;0;
Hutchinson;9;9;7829;1501;0;
Irion;6;6;684;141;0;
Jack;11;11;2469;642;0;
Jackson;13;13;3763;1296;0;
Jasper;21;21;8328;4459;0;
Jeff Davis;6;6;764;378;0;
Jefferson;107;107;44412;47050;0;
Jim Hogg;6;6;712;1344;0;
Jim Wells;22;22;5808;6824;0;
Johnson;35;35;34739;12311;0;
Jones;15;15;4234;1657;0;
Karnes;16;16;3112;1542;0;
Kaufman;43;43;21292;8947;0;
Kendall;12;12;11428;2531;0;
Kenedy;7;7;82;85;0;
Kent;5;5;382;138;0;
Kerr;21;21;16519;4552;0;
Kimble;8;8;1479;324;0;
King;5;5;137;18;0;
Kinney;5;5;1050;542;0;
Kleberg;34;34;5379;4552;0;
Knox;11;11;1079;464;0;
La Salle;7;7;989;1229;0;
La Vaca;20;20;5974;2151;0;
Lamar;32;32;12039;5335;0;
Lamb;13;13;3392;855;0;
Lampasas;11;11;5417;1591;0;
Lee;16;16;4157;1899;0;
Leon;15;15;5012;1750;0;
Liberty;37;37;14798;6777;0;
Limestone;23;23;5028;2752;0;
Lipscomb;10;10;1147;184;0;
Live Oak;15;15;3144;1034;0;
Llano;13;13;7231;2255;0;
Loving;5;5;65;12;0;
Lubbock;89;89;69675;22331;0;
Lynn;15;15;1745;465;0;
Madison;9;9;2828;1233;0;
Marion;11;11;2434;1875;0;
Martin;7;7;1511;293;0;
Mason;5;5;1599;459;0;
Matagorda;19;19;8114;4347;0;
Maverick;15;15;4025;5948;0;
McCulloch;11;11;2465;745;0;
McLennan;93;93;52078;26759;0;
McMullen;6;6;467;95;0;
Medina;23;23;10385;4316;0;
Menard;7;7;761;331;0;
Midland;39;39;36548;7994;0;
Milam;12;12;5280;3435;0;
Mills;11;11;1820;439;0;
Mitchell;7;7;1911;639;0;
Montague;16;16;5901;1944;0;
Montgomery;86;86;104361;28561;0;
Moore;8;8;4598;1009;0;
Morris;10;10;2814;2435;0;
Motley;7;7;564;113;0;
Nacogdoches;35;35;13964;7077;0;
Navarro;35;35;10706;5256;0;
Newton;23;23;3147;2510;0;
Nolan;15;15;3722;1541;0;
Nueces;127;127;59337;44408;0;
Ochiltree;5;5;2920;251;0;
Oldham;8;8;733;108;0;
Orange;35;35;20272;11469;0;
Palo Pinto;31;31;7137;2816;0;
Panola;22;22;7020;2958;0;
Parker;44;44;31759;8948;0;
Parmer;10;10;3340;542;0;
Pecos;10;10;3160;1241;0;
Polk;21;21;13778;6954;0;
Potter;26;26;21033;7487;0;
Presidio;8;8;713;1156;0;
Rains;8;8;2995;1213;0;
Randall;31;31;40512;7842;0;
Reagan;7;7;955;184;0;
Real;7;7;1338;326;0;
Red River;25;25;3377;2097;0;
Reeves;12;12;1777;1600;0;
Refugio;11;11;2163;1205;0;
Roberts;6;6;428;39;0;
Robertson;17;17;3781;2977;0;
Rockwall;17;17;20111;5318;0;
Runnels;11;11;3238;787;0;
Rusk;38;38;13386;4895;0;
Sabine;11;11;3134;1476;0;
San Augustine;12;12;2231;1506;0;
San Jacinto;12;12;5391;2688;0;
San Patricio;33;33;13464;7758;0;
San Saba;8;8;1814;446;0;
Schleicher;5;5;1011;312;0;
Scurry;12;12;4576;981;0;
Shackelford;8;8;1281;222;0;
Shelby;15;15;6287;2943;0;
Sherman;8;8;942;121;0;
Smith;78;78;53321;19937;0;
Somervell;7;7;2692;827;0;
Starr;11;11;2552;7199;0;
Stephens;9;9;2803;703;0;
Sterling;5;5;544;76;0;
Stonewall;10;10;356;253;0;
Sutton;7;7;1173;280;0;
Swisher;11;11;916;407;0;
Tarrant;635;635;349294;207184;0;
Taylor;36;36;37191;10645;0;
Terrell;5;5;306;159;0;
Terry;9;9;3166;794;0;
Throckmorton;6;6;656;202;0;
Titus;20;20;5704;3173;0;
Tom Green;61;61;28087;8971;0;
Travis;262;262;147625;196780;0;
Trinity;20;20;3983;2204;0;
Tyler;18;18;5012;2645;0;
Upshur;21;21;10222;4218;0;
Upton;7;7;1008;185;0;
Uvalde;16;16;5147;3297;0;
Val Verde;18;18;6923;4750;0;
Van Zandt;29;29;14966;4820;0;
Victoria;36;36;20860;8552;0;
Walker;19;19;11692;5966;0;
Waller;19;19;7680;6145;0;
Ward;9;9;2855;901;0;
Washington;31;31;9590;3387;0;
Webb;58;58;17733;23636;0;
Wharton;23;23;9288;4702;0;
Wheeler;11;11;1953;408;0;
Wichita;36;36;32472;12819;0;
Wilbarger;13;13;3685;1284;0;
Willacy;13;13;2980;4843;0;
Williamson;93;93;83079;42986;0;
Wilson;25;25;10379;4404;0;
Winkler;6;6;1601;391;0;
Wise;23;23;15162;4776;0;
Wood;13;13;12826;4030;0;
Yoakum;7;7;2228;376;0;
Young;13;13;5856;1505;0;
Zapata;8;8;1228;1661;0;
Zavala;7;7;777;2332;0;
