   County Total Precincts Precincts Reporting Bush Kerry Nader
   Anderson 25 25 11,495 4,664 0
   Andrews 5 5 3,837 677 0
   Angelina 47 47 18,920 9,293 0
   Aransas 7 7 6,567 2,639 0
   Archer 15 15 3,545 877 0
   Armstrong 8 8 826 170 0
   Atascosa 24 24 7,596 4,397 0
   Austin 20 20 8,064 2,579 0
   Bailey 7 7 1,775 525 0
   Bandera 11 11 6,911 1,730 0
   Bastrop 22 22 13,281 9,785 0
   Baylor 5 5 1,169 467 0
   Bee 18 18 5,424 4,041 0
   Bell 48 48 51,776 26,941 0
   Bexar 686 686 259,762 210,354 0
   Blanco 9 9 3,271 1,266 0
   Borden 8 8 303 55 0
   Bosque 17 17 5,720 1,808 0
   Bowie 37 37 21,778 11,872 0
   Brazoria 76 76 63,611 28,873 0
   Brazos 81 81 37,523 16,090 0
   Brewster 9 9 1,978 1,726 0
   Briscoe 7 7 619 191 0
   Brooks 10 10 844 1,820 0
   Brown 19 19 11,638 2,523 0
   Burleson 16 16 4,403 2,275 0
   Burnet 24 24 11,449 4,145 0
   Caldwell 27 27 6,429 5,045 0
   Calhoun 26 26 4,347 2,561 0
   Callahan 8 8 4,536 1,072 0
   Cameron 95 95 34,689 33,887 0
   Camp 13 13 2,636 1,776 0
   Carson 10 10 2,446 485 0
   Cass 26 26 7,544 4,667 0
   Castro 10 10 1,794 630 0
   Chambers 14 14 8,618 2,951 0
   Cherokee 29 29 11,310 4,432 0
   Childress 5 5 1,629 511 0
   Clay 17 17 3,964 1,298 0
   Cochran 7 7 856 249 0
   Coke 5 5 1,338 266 0
   Coleman 15 15 3,034 778 0
   Collin 163 163 173,014 68,312 0
   Collingsworth 8 8 1,051 346 0
   Colorado 13 13 5,484 2,159 0
   Comal 27 27 31,544 9,138 0
   Comanche 17 17 3,710 1,431 0
   Concho 9 9 861 250 0
   Cooke 26 26 11,897 3,136 0
   Coryell 21 21 12,359 5,088 0
   Cottle 6 6 549 214 0
   Crane 5 5 1,314 254 0
   Crockett 5 5 1,248 473 0
   Crosby 9 9 1,647 621 0
   Culberson 6 6 407 375 0
   Dallam 10 10 1,370 305 0
   Dallas 720 720 345,482 335,871 0
   Dawson 12 12 3,419 1,114 0
   De Witt 17 17 5,095 1,610 0
   Deaf Smith 9 9 4,139 1,133 0
   Delta 11 11 1,447 627 0
   Denton 141 141 140,541 59,163 0
   Dickens 7 7 815 245 0
   Dimmit 8 8 1,188 2,365 0
   Donley 10 10 1,420 340 0
   Duval 12 12 1,160 2,916 0
   Eastland 10 10 5,247 1,582 0
   Ector 36 36 27,502 8,579 0
   Edwards 6 6 745 217 0
   El Paso 170 170 73,046 94,879 0
   Ellis 46 46 34,577 11,618 0
   Erath 26 26 9,499 2,408 0
   Falls 14 14 3,378 2,125 0
   Fannin 20 20 7,892 4,000 0
   Fayette 28 28 7,526 2,803 0
   Fisher 11 11 1,161 757 0
   Floyd 11 11 2,007 567 0
   Foard 5 5 347 235 0
   Fort Bend 142 142 93,554 68,655 0
   Franklin 9 9 2,917 908 0
   Freestone 16 16 5,053 2,070 0
   Frio 11 11 1,985 1,928 0
   Gaines 9 9 3,538 608 0
   Galveston 102 102 61,290 43,919 0
   Garza 7 7 1,479 326 0
   Gillespie 15 15 9,294 2,102 0
   Glasscock 5 5 488 44 0
   Goliad 12 12 2,266 1,219 0
   Gonzales 16 16 4,290 1,707 0
   Gray 8 8 7,258 1,289 0
   Grayson 55 55 34,679 15,062 0
   Gregg 24 24 29,931 12,297 0
   Grimes 15 15 5,263 2,713 0
   Guadalupe 31 31 28,192 10,280 0
   Hale 30 30 8,011 2,074 0
   Hall 8 8 858 412 0
   Hamilton 12 12 2,855 845 0
   Hansford 9 9 1,892 243 0
   Hardeman 6 6 1,214 480 0
   Hardin 20 20 14,844 5,519 0
   Harris 914 914 580,553 472,320 0
   Harrison 30 30 16,456 9,637 0
   Hartley 7 7 1,735 315 0
   Haskell 11 11 1,137 611 0
   Hays 37 37 26,991 20,086 0
   Hemphill 9 9 1,380 257 0
   Henderson 32 32 20,182 8,496 0
   Hidalgo 141 141 51,438 63,035 0
   Hill 26 26 9,223 3,750 0
   Hockley 17 17 6,158 1,385 0
   Hood 16 16 16,265 4,862 0
   Hopkins 22 22 8,580 3,439 0
   Houston 22 22 5,848 2,921 0
   Howard 20 20 7,479 2,663 0
   Hudspeth 6 6 577 302 0
   Hunt 37 37 20,065 7,971 0
   Hutchinson 9 9 7,829 1,501 0
   Irion 6 6 684 141 0
   Jack 11 11 2,469 642 0
   Jackson 13 13 3,763 1,296 0
   Jasper 21 21 8,328 4,459 0
   Jeff Davis 6 6 764 378 0
   Jefferson 107 107 44,412 47,050 0
   Jim Hogg 6 6 712 1,344 0
   Jim Wells 22 22 5,808 6,824 0
   Johnson 35 35 34,739 12,311 0
   Jones 15 15 4,234 1,657 0
   Karnes 16 16 3,112 1,542 0
   Kaufman 43 43 21,292 8,947 0
   Kendall 12 12 11,428 2,531 0
   Kenedy 7 7 82 85 0
   Kent 5 5 382 138 0
   Kerr 21 21 16,519 4,552 0
   Kimble 8 8 1,479 324 0
   King 5 5 137 18 0
   Kinney 5 5 1,050 542 0
   Kleberg 34 34 5,379 4,552 0
   Knox 11 11 1,079 464 0
   La Salle 7 7 989 1,229 0
   La Vaca 20 20 5,974 2,151 0
   Lamar 32 32 12,039 5,335 0
   Lamb 13 13 3,392 855 0
   Lampasas 11 11 5,417 1,591 0
   Lee 16 16 4,157 1,899 0
   Leon 15 15 5,012 1,750 0
   Liberty 37 37 14,798 6,777 0
   Limestone 23 23 5,028 2,752 0
   Lipscomb 10 10 1,147 184 0
   Live Oak 15 15 3,144 1,034 0
   Llano 13 13 7,231 2,255 0
   Loving 5 5 65 12 0
   Lubbock 89 89 69,675 22,331 0
   Lynn 15 15 1,745 465 0
   Madison 9 9 2,828 1,233 0
   Marion 11 11 2,434 1,875 0
   Martin 7 7 1,511 293 0
   Mason 5 5 1,599 459 0
   Matagorda 19 19 8,114 4,347 0
   Maverick 15 15 4,025 5,948 0
   McCulloch 11 11 2,465 745 0
   McLennan 93 93 52,078 26,759 0
   McMullen 6 6 467 95 0
   Medina 23 23 10,385 4,316 0
   Menard 7 7 761 331 0
   Midland 39 39 36,548 7,994 0
   Milam 12 12 5,280 3,435 0
   Mills 11 11 1,820 439 0
   Mitchell 7 7 1,911 639 0
   Montague 16 16 5,901 1,944 0
   Montgomery 86 86 104,361 28,561 0
   Moore 8 8 4,598 1,009 0
   Morris 10 10 2,814 2,435 0
   Motley 7 7 564 113 0
   Nacogdoches 35 35 13,964 7,077 0
   Navarro 35 35 10,706 5,256 0
   Newton 23 23 3,147 2,510 0
   Nolan 15 15 3,722 1,541 0
   Nueces 127 127 59,337 44,408 0
   Ochiltree 5 5 2,920 251 0
   Oldham 8 8 733 108 0
   Orange 35 35 20,272 11,469 0
   Palo Pinto 31 31 7,137 2,816 0
   Panola 22 22 7,020 2,958 0
   Parker 44 44 31,759 8,948 0
   Parmer 10 10 3,340 542 0
   Pecos 10 10 3,160 1,241 0
   Polk 21 21 13,778 6,954 0
   Potter 26 26 21,033 7,487 0
   Presidio 8 8 713 1,156 0
   Rains 8 8 2,995 1,213 0
   Randall 31 31 40,512 7,842 0
   Reagan 7 7 955 184 0
   Real 7 7 1,338 326 0
   Red River 25 25 3,377 2,097 0
   Reeves 12 12 1,777 1,600 0
   Refugio 11 11 2,163 1,205 0
   Roberts 6 6 428 39 0
   Robertson 17 17 3,781 2,977 0
   Rockwall 17 17 20,111 5,318 0
   Runnels 11 11 3,238 787 0
   Rusk 38 38 13,386 4,895 0
   Sabine 11 11 3,134 1,476 0
   San Augustine 12 12 2,231 1,506 0
   San Jacinto 12 12 5,391 2,688 0
   San Patricio 33 33 13,464 7,758 0
   San Saba 8 8 1,814 446 0
   Schleicher 5 5 1,011 312 0
   Scurry 12 12 4,576 981 0
   Shackelford 8 8 1,281 222 0
   Shelby 15 15 6,287 2,943 0
   Sherman 8 8 942 121 0
   Smith 78 78 53,321 19,937 0
   Somervell 7 7 2,692 827 0
   Starr 11 11 2,552 7,199 0
   Stephens 9 9 2,803 703 0
   Sterling 5 5 544 76 0
   Stonewall 10 10 356 253 0
   Sutton 7 7 1,173 280 0
   Swisher 11 11 916 407 0
   Tarrant 635 635 349,294 207,184 0
   Taylor 36 36 37,191 10,645 0
   Terrell 5 5 306 159 0
   Terry 9 9 3,166 794 0
   Throckmorton 6 6 656 202 0
   Titus 20 20 5,704 3,173 0
   Tom Green 61 61 28,087 8,971 0
   Travis 262 262 147,625 196,780 0
   Trinity 20 20 3,983 2,204 0
   Tyler 18 18 5,012 2,645 0
   Upshur 21 21 10,222 4,218 0
   Upton 7 7 1,008 185 0
   Uvalde 16 16 5,147 3,297 0
   Val Verde 18 18 6,923 4,750 0
   Van Zandt 29 29 14,966 4,820 0
   Victoria 36 36 20,860 8,552 0
   Walker 19 19 11,692 5,966 0
