County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Beaver;7;7;1975;486;12;
Box Elder;46;46;15244;2169;142;
Cache;72;72;31379;6131;388;
Carbon;23;23;4856;3378;82;
Daggett;3;3;376;106;6;
Davis;212;212;84390;20384;1023;
Duchesne;14;14;4590;707;24;
Emery;12;12;3772;830;25;
Garfield;10;10;1839;260;22;
Grand;11;11;2073;1782;112;
Iron;33;33;12422;2208;103;
Juab;11;11;2659;601;20;
Kane;12;11;2325;540;24;
Millard;17;17;3905;591;27;
Morgan;8;8;3252;468;25;
Piute;5;5;642;123;3;
Rich;5;5;895;106;5;
Salt Lake;743;743;209162;131057;5786;
San Juan;20;20;2908;1838;28;
Sanpete;27;27;6866;1158;56;
Sevier;23;23;6458;902;37;
Summit;36;36;7731;6754;256;
Tooele;38;38;11751;4010;143;
Uintah;26;26;8378;1251;42;
Utah;248;248;95039;11893;1221;
Wasatch;19;19;5392;1825;60;
Washington;75;75;31747;6371;273;
Wayne;7;7;1059;278;10;
Weber;150;146;49538;19079;885;
