   County Total Precincts Precincts Reporting Bush Kerry Nader
   Beaver 7 7 1,975 486 12
   Box Elder 46 46 15,244 2,169 142
   Cache 72 72 31,379 6,131 388
   Carbon 23 23 4,856 3,378 82
   Daggett 3 3 376 106 6
   Davis 212 212 84,390 20,384 1,023
   Duchesne 14 14 4,590 707 24
   Emery 12 12 3,772 830 25
   Garfield 10 10 1,839 260 22
   Grand 11 11 2,073 1,782 112
   Iron 33 33 12,422 2,208 103
   Juab 11 11 2,659 601 20
   Kane 12 11 2,325 540 24
   Millard 17 17 3,905 591 27
   Morgan 8 8 3,252 468 25
   Piute 5 5 642 123 3
   Rich 5 5 895 106 5
   Salt Lake 743 743 209,162 131,057 5,786
   San Juan 20 20 2,908 1,838 28
   Sanpete 27 27 6,866 1,158 56
   Sevier 23 23 6,458 902 37
   Summit 36 36 7,731 6,754 256
   Tooele 38 38 11,751 4,010 143
   Uintah 26 26 8,378 1,251 42
   Utah 248 248 95,039 11,893 1,221
   Wasatch 19 19 5,392 1,825 60
   Washington 75 75 31,747 6,371 273
   Wayne 7 7 1,059 278 10
   Weber 150 146 49,538 19,079 885
