County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Accomack;21;21;7724;5517;0;
Albemarle;29;29;21180;22069;0;
Alexandria;25;25;19764;40807;0;
Alleghany;12;12;3953;3199;0;
Amelia;5;5;3499;1862;0;
Amherst;12;12;7756;4864;0;
Appomattox;9;9;4366;2171;0;
Arlington;46;46;29545;63705;0;
Augusta;26;26;22099;7019;0;
Bath;8;8;1419;820;0;
Bedford;30;30;21921;9050;0;
Bedford City;2;2;1470;1042;0;
Bland;7;7;1962;846;0;
Botetourt;17;17;10865;4801;0;
Bristol;5;5;4273;2399;0;
Brunswick;13;13;2852;4062;0;
Buchanan;18;18;4401;5267;0;
Buckingham;9;9;3185;2807;0;
Buena Vista;2;2;1447;936;0;
Campbell;17;17;15874;6862;0;
Caroline;9;9;4968;4848;0;
Carroll;18;18;7751;3661;0;
Charles City;3;3;1254;2155;0;
Charlotte;10;10;3165;2220;0;
Charlottesville;9;9;4155;11015;0;
Chesapeake;50;50;51913;38442;0;
Chesterfield;63;63;78912;46372;0;
Clarke;8;8;3741;2699;0;
Colonial Heights;5;5;6127;2061;0;
Covington;5;5;1104;1179;0;
Craig;11;11;1689;894;0;
Culpeper;13;13;9635;5218;0;
Cumberland;5;5;2377;1721;0;
Danville;18;18;9399;9435;0;
Dickenson;13;13;3587;3760;0;
Dinwiddie;13;13;6193;4569;0;
Emporia;7;7;970;1247;0;
Essex;4;4;2304;2007;0;
Fairfax;225;225;189371;215223;0;
Fairfax City;7;7;5042;5393;0;
Falls Church;5;5;2072;3937;0;
Fauquier;19;19;17713;9830;0;
Floyd;5;5;4162;2487;0;
Fluvanna;6;6;6456;4413;0;
Franklin;23;23;14048;8001;0;
Franklin City;6;6;1611;1909;0;
Frederick;20;20;19375;8848;0;
Fredericksburg;5;5;3383;4075;0;
Galax;3;3;1336;986;0;
Giles;9;9;4319;3046;0;
Gloucester;11;11;11080;5103;0;
Goochland;8;8;6665;3583;0;
Grayson;15;15;4655;2430;0;
Greene;4;4;4570;2240;0;
Greensville;9;9;1715;2599;0;
Halifax;21;21;8358;6220;0;
Hampton;31;31;23008;31750;0;
Hanover;34;34;35398;13911;0;
Harrisonburg;5;5;5815;4390;0;
Henrico;91;91;71264;60813;0;
Henry;25;25;13358;9846;0;
Highland;8;8;982;522;0;
Hopewell;7;7;4250;3572;0;
Isle of Wight;13;13;9933;5870;0;
James City;11;11;17323;10893;0;
King and Queen;5;5;1737;1505;0;
King George;5;5;5144;2739;0;
King William;6;6;4397;2434;0;
Lancaster;7;7;3724;2476;0;
Lee;19;19;5663;4000;0;
Lexington;1;1;982;1340;0;
Loudoun;53;53;60360;47072;0;
Louisa;14;14;7188;4874;0;
Lunenburg;11;11;2858;2362;0;
Lynchburg;18;18;13540;10986;0;
Madison;9;9;3556;2175;0;
Manassas;6;6;7154;5498;0;
Manassas Park;1;1;1803;1496;0;
Martinsville;7;7;2538;3036;0;
Mathews;4;4;3497;1589;0;
Mecklenburg;23;23;7314;5310;0;
Middlesex;7;7;3335;1913;0;
Montgomery;21;21;16205;13106;0;
Nelson;10;10;3539;3543;0;
New Kent;10;10;5411;2439;0;
Newport News;46;46;30081;33598;0;
Norfolk;56;56;26156;42979;0;
Northampton;6;6;2669;2775;0;
Northumberland;6;6;3830;2546;0;
Norton;2;2;768;725;0;
Nottoway;9;9;3303;2636;0;
Orange;8;8;7749;5005;0;
Page;5;5;6221;3324;0;
Patrick;13;13;5506;2572;0;
Petersburg;7;7;1853;8345;0;
Pittsylvania;32;32;17692;9370;0;
Poquoson;3;3;5003;1424;0;
Portsmouth;31;31;15217;24113;0;
Powhatan;10;10;8955;3112;0;
Prince Edward;10;10;3571;3628;0;
Prince George;11;11;8132;5053;0;
Prince William;62;62;65367;57425;0;
Pulaski;13;13;8766;5309;0;
Radford;3;3;2564;2173;0;
Rappahannock;6;6;2172;1837;0;
Richmond;7;7;2082;1243;0;
Richmond City;69;69;20606;49731;0;
Roanoke;33;33;30589;16079;0;
Roanoke City;33;33;15761;17796;0;
Rockbridge;17;17;5412;3637;0;
Rockingham;27;27;20815;6769;0;
Russell;15;15;6074;5164;0;
Salem;11;11;7075;4215;0;
Scott;17;17;6477;3321;0;
Shenandoah;15;15;11805;5182;0;
Smyth;15;15;7790;4258;0;
Southampton;14;14;4018;3431;0;
Spotsylvania;26;26;28520;16616;0;
Stafford;22;22;26433;15928;0;
Staunton;6;6;5805;3756;0;
Suffolk;23;23;16031;14074;0;
Surry;7;7;1543;1954;0;
Sussex;11;11;1882;2411;0;
Tazewell;25;25;10033;7175;0;
Virginia Beach;86;86;103748;70657;0;
Warren;12;12;8599;5239;0;
Washington;18;18;14742;7338;0;
Waynesboro;5;5;5090;2787;0;
Westmoreland;6;6;3205;3132;0;
Williamsburg;2;2;1960;2211;0;
Winchester;6;6;5283;3967;0;
Wise;12;12;8337;5792;0;
Wythe;13;13;7911;3581;0;
York;13;13;17991;9470;0;
