   County Total Precincts Precincts Reporting Bush Kerry Nader
   Accomack 21 21 7,724 5,517 0
   Albemarle 29 29 21,180 22,069 0
   Alexandria 25 25 19,764 40,807 0
   Alleghany 12 12 3,953 3,199 0
   Amelia 5 5 3,499 1,862 0
   Amherst 12 12 7,756 4,864 0
   Appomattox 9 9 4,366 2,171 0
   Arlington 46 46 29,545 63,705 0
   Augusta 26 26 22,099 7,019 0
   Bath 8 8 1,419 820 0
   Bedford 30 30 21,921 9,050 0
   Bedford City 2 2 1,470 1,042 0
   Bland 7 7 1,962 846 0
   Botetourt 17 17 10,865 4,801 0
   Bristol 5 5 4,273 2,399 0
   Brunswick 13 13 2,852 4,062 0
   Buchanan 18 18 4,401 5,267 0
   Buckingham 9 9 3,185 2,807 0
   Buena Vista 2 2 1,447 936 0
   Campbell 17 17 15,874 6,862 0
   Caroline 9 9 4,968 4,848 0
   Carroll 18 18 7,751 3,661 0
   Charles City 3 3 1,254 2,155 0
   Charlotte 10 10 3,165 2,220 0
   Charlottesville 9 9 4,155 11,015 0
   Chesapeake 50 50 51,913 38,442 0
   Chesterfield 63 63 78,912 46,372 0
   Clarke 8 8 3,741 2,699 0
   Colonial Heights 5 5 6,127 2,061 0
   Covington 5 5 1,104 1,179 0
   Craig 11 11 1,689 894 0
   Culpeper 13 13 9,635 5,218 0
   Cumberland 5 5 2,377 1,721 0
   Danville 18 18 9,399 9,435 0
   Dickenson 13 13 3,587 3,760 0
   Dinwiddie 13 13 6,193 4,569 0
   Emporia 7 7 970 1,247 0
   Essex 4 4 2,304 2,007 0
   Fairfax 225 225 189,371 215,223 0
   Fairfax City 7 7 5,042 5,393 0
   Falls Church 5 5 2,072 3,937 0
   Fauquier 19 19 17,713 9,830 0
   Floyd 5 5 4,162 2,487 0
   Fluvanna 6 6 6,456 4,413 0
   Franklin 23 23 14,048 8,001 0
   Franklin City 6 6 1,611 1,909 0
   Frederick 20 20 19,375 8,848 0
   Fredericksburg 5 5 3,383 4,075 0
   Galax 3 3 1,336 986 0
   Giles 9 9 4,319 3,046 0
   Gloucester 11 11 11,080 5,103 0
   Goochland 8 8 6,665 3,583 0
   Grayson 15 15 4,655 2,430 0
   Greene 4 4 4,570 2,240 0
   Greensville 9 9 1,715 2,599 0
   Halifax 21 21 8,358 6,220 0
   Hampton 31 31 23,008 31,750 0
   Hanover 34 34 35,398 13,911 0
   Harrisonburg 5 5 5,815 4,390 0
   Henrico 91 91 71,264 60,813 0
   Henry 25 25 13,358 9,846 0
   Highland 8 8 982 522 0
   Hopewell 7 7 4,250 3,572 0
   Isle of Wight 13 13 9,933 5,870 0
   James City 11 11 17,323 10,893 0
   King and Queen 5 5 1,737 1,505 0
   King George 5 5 5,144 2,739 0
   King William 6 6 4,397 2,434 0
   Lancaster 7 7 3,724 2,476 0
   Lee 19 19 5,663 4,000 0
   Lexington 1 1 982 1,340 0
   Loudoun 53 53 60,360 47,072 0
   Louisa 14 14 7,188 4,874 0
   Lunenburg 11 11 2,858 2,362 0
   Lynchburg 18 18 13,540 10,986 0
   Madison 9 9 3,556 2,175 0
   Manassas 6 6 7,154 5,498 0
   Manassas Park 1 1 1,803 1,496 0
   Martinsville 7 7 2,538 3,036 0
   Mathews 4 4 3,497 1,589 0
   Mecklenburg 23 23 7,314 5,310 0
   Middlesex 7 7 3,335 1,913 0
   Montgomery 21 21 16,205 13,106 0
   Nelson 10 10 3,539 3,543 0
   New Kent 10 10 5,411 2,439 0
   Newport News 46 46 30,081 33,598 0
   Norfolk 56 56 26,156 42,979 0
   Northampton 6 6 2,669 2,775 0
   Northumberland 6 6 3,830 2,546 0
   Norton 2 2 768 725 0
   Nottoway 9 9 3,303 2,636 0
   Orange 8 8 7,749 5,005 0
   Page 5 5 6,221 3,324 0
   Patrick 13 13 5,506 2,572 0
   Petersburg 7 7 1,853 8,345 0
   Pittsylvania 32 32 17,692 9,370 0
   Poquoson 3 3 5,003 1,424 0
   Portsmouth 31 31 15,217 24,113 0
   Powhatan 10 10 8,955 3,112 0
   Prince Edward 10 10 3,571 3,628 0
   Prince George 11 11 8,132 5,053 0
   Prince William 62 62 65,367 57,425 0
   Pulaski 13 13 8,766 5,309 0
   Radford 3 3 2,564 2,173 0
   Rappahannock 6 6 2,172 1,837 0
   Richmond 7 7 2,082 1,243 0
   Richmond City 69 69 20,606 49,731 0
   Roanoke 33 33 30,589 16,079 0
   Roanoke City 33 33 15,761 17,796 0
   Rockbridge 17 17 5,412 3,637 0
   Rockingham 27 27 20,815 6,769 0
   Russell 15 15 6,074 5,164 0
   Salem 11 11 7,075 4,215 0
   Scott 17 17 6,477 3,321 0
   Shenandoah 15 15 11,805 5,182 0
   Smyth 15 15 7,790 4,258 0
   Southampton 14 14 4,018 3,431 0
   Spotsylvania 26 26 28,520 16,616 0
   Stafford 22 22 26,433 15,928 0
   Staunton 6 6 5,805 3,756 0
   Suffolk 23 23 16,031 14,074 0
   Surry 7 7 1,543 1,954 0
   Sussex 11 11 1,882 2,411 0
   Tazewell 25 25 10,033 7,175 0
   Virginia Beach 86 86 103,748 70,657 0
   Warren 12 12 8,599 5,239 0
   Washington 18 18 14,742 7,338 0
   Waynesboro 5 5 5,090 2,787 0
   Westmoreland 6 6 3,205 3,132 0
   Williamsburg 2 2 1,960 2,211 0
   Winchester 6 6 5,283 3,967 0
   Wise 12 12 8,337 5,792 0
   Wythe 13 13 7,911 3,581 0
   York 13 13 17,991 9,470 0
