County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Addison;1;1;407;333;6;
Albany;1;1;204;265;6;
Alburg;1;1;437;446;15;
Andover;1;1;128;173;2;
Arlington;1;1;582;739;14;
Athens;1;1;61;75;2;
Bakersfield;1;1;273;329;16;
Baltimore;1;1;65;53;4;
Barnard;1;1;223;333;6;
Barnet;1;1;433;469;16;
Barre;3;3;1703;2037;43;
Barre Town;1;1;2228;1908;40;
Barton;1;1;606;648;19;
Belvidere;1;1;72;66;5;
Bennington;1;1;2471;4251;88;
Benson;1;1;251;256;5;
Berkshire;1;1;321;302;10;
Berlin;1;1;588;722;19;
Bethel;1;1;400;596;14;
Bloomfield;1;1;52;54;4;
Bolton;1;1;234;384;8;
Bradford;1;1;632;659;10;
Braintree;1;1;285;307;6;
Brandon;1;1;851;1054;28;
Brattleboro;3;3;1408;4499;98;
Bridgewater;1;1;248;288;6;
Bridport;1;1;350;337;10;
Brighton;1;1;316;277;8;
Bristol;1;1;746;1151;18;
Brookfield;1;1;317;399;10;
Brookline;1;1;110;164;11;
Brownington;1;1;193;172;6;
Brunswick;1;1;26;34;0;
Burke;1;1;369;411;11;
Burlington;7;7;3976;14290;574;
Cabot;1;1;225;449;14;
Calais;1;1;259;733;19;
Cambridge;1;1;602;1097;43;
Canaan;1;1;199;235;10;
Castleton;1;1;894;949;34;
Cavendish;1;1;328;383;10;
Charleston;1;1;218;213;3;
Charlotte;1;1;707;1548;33;
Chelsea;1;1;333;361;8;
Chester;1;1;613;990;27;
Chittenden;1;1;343;366;3;
Clarendon;1;1;762;579;13;
Colchester;1;1;3118;4400;49;
Concord;1;1;299;199;14;
Corinth;1;1;300;373;13;
Cornwall;1;1;230;488;11;
Coventry;1;1;204;184;3;
Craftsbury;1;1;216;430;14;
Danby;1;1;360;356;9;
Danville;1;1;639;594;13;
Derby;1;1;1012;1104;26;
Dorset;1;1;537;733;13;
Dover;1;1;334;382;9;
Dummerston;1;1;317;790;17;
Duxbury;1;1;272;436;11;
East Haven;1;1;83;56;3;
East Montpelier;1;1;538;992;24;
Eden;1;1;212;243;7;
Elmore;1;1;145;308;5;
Enosburgh;1;1;449;621;13;
Essex;2;2;4336;5744;116;
Fair Haven;1;1;595;627;21;
Fairfax;1;1;849;1062;34;
Fairfield;1;1;344;554;4;
Fairlee;1;1;223;361;1;
Fayston;1;1;232;529;13;
Ferrisburg;1;1;692;800;12;
Fletcher;1;1;248;341;5;
Franklin;1;1;301;253;8;
Georgia;1;1;1102;1013;24;
Glover;1;1;246;285;8;
Goshen;1;1;49;82;2;
Grafton;1;1;133;217;4;
Granby;1;1;45;7;0;
Grand Isle;1;1;502;666;13;
Granville;1;1;39;113;3;
Greensboro;1;1;148;263;7;
Groton;1;1;283;170;4;
Guildhall;1;1;82;54;0;
Guilford;1;1;380;812;14;
Halifax;1;1;172;245;6;
Hancock;1;1;69;111;4;
Hardwick;1;1;642;874;11;
Hartford;1;1;1891;2909;40;
Hartland;1;1;680;1104;41;
Highgate;1;1;667;602;11;
Hinesburg;1;1;496;1502;40;
Holland;1;1;141;152;3;
Hubbardton;1;1;151;177;7;
Huntington;1;1;334;702;20;
Hyde Park;1;1;544;933;14;
Ira;1;1;98;104;2;
Irasburg;1;1;300;260;2;
Isle La Motte;1;1;143;167;0;
Jamaica;1;1;167;311;14;
Jay;1;1;78;125;0;
Jericho;1;1;1128;1803;33;
Johnson;1;1;494;970;34;
Killington;1;1;261;378;7;
Kirby;1;1;88;135;5;
Landgrove;1;1;20;91;0;
Leicester;1;1;277;277;8;
Lemington;1;1;32;20;0;
Lincoln;1;1;253;513;14;
Londonderry;1;1;446;529;14;
Lowell;1;1;152;178;1;
Ludlow;1;1;593;664;10;
Lunenburg;1;1;314;252;7;
Lyndon;1;1;1144;1029;27;
