County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;31;31;3617;1257;36;
Asotin;26;26;5111;3207;73;
Benton;178;178;37299;18175;308;
Chelan;80;80;12268;7025;141;
Clallam;93;93;16050;14639;348;
Clark;180;180;83300;74658;1061;
Columbia;13;13;1364;565;15;
Cowlitz;92;92;17470;18856;288;
Douglas;45;45;8194;3947;83;
Ferry;36;36;1969;1156;57;
Franklin;75;75;9220;4500;80;
Garfield;12;12;874;340;10;
Grant;65;65;17539;7662;189;
Grays Harbor;55;55;14029;15707;290;
Island;65;65;15858;14667;224;
Jefferson;50;50;6055;10427;160;
King;2616;2616;264757;498782;5374;
Kitsap;185;185;48995;53548;950;
Kittitas;58;58;7857;5768;145;
Klickitat;29;29;4806;3834;79;
Lewis;79;79;18298;9453;290;
Lincoln;46;46;3989;1697;48;
Mason;57;57;10484;11331;245;
Okanogan;222;222;8336;5511;134;
Pacific;37;37;4614;5538;117;
Pend Oreille;27;27;3671;2292;83;
Pierce;374;374;131548;138119;2026;
San Juan;17;17;2904;5784;88;
Skagit;116;116;16269;15739;297;
Skamania;25;25;2678;2361;40;
Snohomish;698;698;125380;145434;2052;
Spokane;286;286;88448;70105;1360;
Stevens;55;55;10789;5763;175;
Thurston;281;281;44190;57551;1081;
Wahkiakum;11;11;1165;1018;22;
Walla Walla;59;59;10972;6327;134;
Whatcom;119;119;29982;35787;654;
Whitman;56;56;7158;5860;114;
Yakima;137;137;33030;21478;317;
