   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 31 31 3,617 1,257 36
   Asotin 26 26 5,111 3,207 73
   Benton 178 178 37,299 18,175 308
   Chelan 80 80 12,268 7,025 141
   Clallam 93 93 16,050 14,639 348
   Clark 180 180 83,300 74,658 1,061
   Columbia 13 13 1,364 565 15
   Cowlitz 92 92 17,470 18,856 288
   Douglas 45 45 8,194 3,947 83
   Ferry 36 36 1,969 1,156 57
   Franklin 75 75 9,220 4,500 80
   Garfield 12 12 874 340 10
   Grant 65 65 17,539 7,662 189
   Grays Harbor 55 55 14,029 15,707 290
   Island 65 65 15,858 14,667 224
   Jefferson 50 50 6,055 10,427 160
   King 2,616 2,616 264,757 498,782 5,374
   Kitsap 185 185 48,995 53,548 950
   Kittitas 58 58 7,857 5,768 145
   Klickitat 29 29 4,806 3,834 79
   Lewis 79 79 18,298 9,453 290
   Lincoln 46 46 3,989 1,697 48
   Mason 57 57 10,484 11,331 245
   Okanogan 222 222 8,336 5,511 134
   Pacific 37 37 4,614 5,538 117
   Pend Oreille 27 27 3,671 2,292 83
   Pierce 374 374 131,548 138,119 2,026
   San Juan 17 17 2,904 5,784 88
   Skagit 116 116 16,269 15,739 297
   Skamania 25 25 2,678 2,361 40
   Snohomish 698 698 125,380 145,434 2,052
   Spokane 286 286 88,448 70,105 1,360
   Stevens 55 55 10,789 5,763 175
   Thurston 281 281 44,190 57,551 1,081
   Wahkiakum 11 11 1,165 1,018 22
   Walla Walla 59 59 10,972 6,327 134
   Whatcom 119 119 29,982 35,787 654
   Whitman 56 56 7,158 5,860 114
   Yakima 137 137 33,030 21,478 317
