County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adams;20;20;4890;5447;77;
Ashland;26;26;3313;5705;55;
Barron;36;36;12030;11696;126;
Bayfield;29;29;3753;5845;70;
Brown;91;91;67113;54889;666;
Buffalo;23;23;3502;3998;62;
Burnett;24;24;4743;4499;41;
Calumet;34;34;14719;10289;161;
Chippewa;38;38;15450;14751;198;
Clark;63;63;7965;6964;130;
Columbia;43;43;14956;14300;158;
Crawford;27;27;3680;4656;49;
Dane;214;214;90356;181032;1461;
Dodge;52;52;27200;16689;283;
Door;30;30;8910;8367;118;
Douglas;31;31;8448;16534;125;
Dunn;35;35;10878;12039;151;
Eau Claire;57;57;24644;30049;371;
Florence;8;8;1703;993;18;
Fond du Lac;53;53;33291;19214;297;
Forest;18;18;2608;2509;27;
Grant;55;55;12113;12865;113;
Green;39;39;8497;9575;101;
Green Lake;16;16;6472;3605;55;
Iowa;35;35;5348;7122;43;
Iron;19;19;1884;1956;25;
Jackson;27;27;4387;5249;47;
Jefferson;44;44;23775;17926;240;
Juneau;29;29;6478;5734;73;
Kenosha;69;69;35583;40102;354;
Kewaunee;14;14;5947;5166;78;
La Crosse;42;42;28286;33157;348;
Lafayette;28;28;3926;4415;37;
Langlade;27;27;6235;4751;64;
Lincoln;25;25;8032;7482;112;
Manitowoc;42;42;23025;20655;300;
Marathon;121;121;36394;30897;505;
Marinette;35;35;11870;10204;125;
Marquette;19;19;4604;3785;36;
Menominee;2;2;288;1412;6;
Milwaukee;462;462;180041;297260;2227;
Monroe;36;36;10280;8982;114;
Oconto;30;30;11043;8533;126;
Oneida;29;29;11349;10468;135;
Outagamie;90;90;48809;40369;507;
Ozaukee;49;49;34901;17708;245;
Pepin;11;11;1853;2184;19;
Pierce;28;28;10437;11177;148;
Polk;38;38;11895;11178;132;
Portage;40;40;16546;21861;299;
Price;44;44;4311;4349;55;
Racine;68;68;52449;48226;459;
Richland;33;33;4841;4505;37;
Rock;83;83;33055;46598;409;
Rusk;33;33;3985;3820;71;
Sauk;55;55;14415;15708;182;
Sawyer;24;24;4950;4410;62;
Shawano;43;43;12149;8656;130;
Sheboygan;58;58;34456;27606;323;
St Croix;37;37;22679;18784;200;
Taylor;30;30;5535;3783;87;
Trempealeau;26;26;5883;8077;71;
Vernon;33;33;6773;7924;87;
Vilas;15;15;8153;5713;74;
Walworth;38;38;28752;19175;278;
Washburn;30;30;4766;4705;59;
Washington;46;46;50640;21235;341;
Waukesha;205;205;154910;73618;966;
Waupaca;38;38;15952;10794;162;
Waushara;26;26;6888;5119;66;
Winnebago;77;77;46538;40937;611;
Wood;45;45;20592;18950;336;
