   County Total Precincts Precincts Reporting Bush Kerry Nader
   Adams 20 20 4,890 5,447 77
   Ashland 26 26 3,313 5,705 55
   Barron 36 36 12,030 11,696 126
   Bayfield 29 29 3,753 5,845 70
   Brown 91 91 67,113 54,889 666
   Buffalo 23 23 3,502 3,998 62
   Burnett 24 24 4,743 4,499 41
   Calumet 34 34 14,719 10,289 161
   Chippewa 38 38 15,450 14,751 198
   Clark 63 63 7,965 6,964 130
   Columbia 43 43 14,956 14,300 158
   Crawford 27 27 3,680 4,656 49
   Dane 214 214 90,356 181,032 1,461
   Dodge 52 52 27,200 16,689 283
   Door 30 30 8,910 8,367 118
   Douglas 31 31 8,448 16,534 125
   Dunn 35 35 10,878 12,039 151
   Eau Claire 57 57 24,644 30,049 371
   Florence 8 8 1,703 993 18
   Fond du Lac 53 53 33,291 19,214 297
   Forest 18 18 2,608 2,509 27
   Grant 55 55 12,113 12,865 113
   Green 39 39 8,497 9,575 101
   Green Lake 16 16 6,472 3,605 55
   Iowa 35 35 5,348 7,122 43
   Iron 19 19 1,884 1,956 25
   Jackson 27 27 4,387 5,249 47
   Jefferson 44 44 23,775 17,926 240
   Juneau 29 29 6,478 5,734 73
   Kenosha 69 69 35,583 40,102 354
   Kewaunee 14 14 5,947 5,166 78
   La Crosse 42 42 28,286 33,157 348
   Lafayette 28 28 3,926 4,415 37
   Langlade 27 27 6,235 4,751 64
   Lincoln 25 25 8,032 7,482 112
   Manitowoc 42 42 23,025 20,655 300
   Marathon 121 121 36,394 30,897 505
   Marinette 35 35 11,870 10,204 125
   Marquette 19 19 4,604 3,785 36
   Menominee 2 2 288 1,412 6
   Milwaukee 462 462 180,041 297,260 2,227
   Monroe 36 36 10,280 8,982 114
   Oconto 30 30 11,043 8,533 126
   Oneida 29 29 11,349 10,468 135
   Outagamie 90 90 48,809 40,369 507
   Ozaukee 49 49 34,901 17,708 245
   Pepin 11 11 1,853 2,184 19
   Pierce 28 28 10,437 11,177 148
   Polk 38 38 11,895 11,178 132
   Portage 40 40 16,546 21,861 299
   Price 44 44 4,311 4,349 55
   Racine 68 68 52,449 48,226 459
   Richland 33 33 4,841 4,505 37
   Rock 83 83 33,055 46,598 409
   Rusk 33 33 3,985 3,820 71
   Sauk 55 55 14,415 15,708 182
   Sawyer 24 24 4,950 4,410 62
   Shawano 43 43 12,149 8,656 130
   Sheboygan 58 58 34,456 27,606 323
   St. Croix 37 37 22,679 18,784 200
   Taylor 30 30 5,535 3,783 87
   Trempealeau 26 26 5,883 8,077 71
   Vernon 33 33 6,773 7,924 87
   Vilas 15 15 8,153 5,713 74
   Walworth 38 38 28,752 19,175 278
   Washburn 30 30 4,766 4,705 59
   Washington 46 46 50,640 21,235 341
   Waukesha 205 205 154,910 73,618 966
   Waupaca 38 38 15,952 10,794 162
   Waushara 26 26 6,888 5,119 66
   Winnebago 77 77 46,538 40,937 611
   Wood 45 45 20,592 18,950 336
