County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Barbour;23;23;3975;2636;29;
Berkeley;59;59;20724;11888;153;
Boone;37;37;4163;5890;50;
Braxton;22;22;2964;3014;21;
Brooke;27;27;5147;5460;73;
Cabell;68;68;20777;16328;225;
Calhoun;10;10;1569;1253;25;
Clay;13;13;2183;1824;34;
Doddridge;13;13;2340;792;21;
Fayette;39;39;7767;8860;89;
Gilmer;12;12;1660;1153;21;
Grant;15;15;4005;944;17;
Greenbrier;36;36;8278;6039;78;
Hampshire;23;23;5465;2444;37;
Hancock;28;28;7224;6829;90;
Hardy;14;14;3600;1606;14;
Harrison;93;93;16913;13102;177;
Jackson;38;38;7604;5332;61;
Jefferson;29;29;10442;9202;89;
Kanawha;183;183;43777;42321;348;
Lewis;24;24;3500;1863;50;
Lincoln;35;35;4076;4033;45;
Logan;52;52;6513;7760;45;
Marion;75;75;12717;12082;186;
Marshall;45;45;8443;6379;102;
Mason;38;38;6451;5374;62;
McDowell;42;42;2729;4464;26;
Mercer;61;61;12914;9052;107;
Mineral;35;35;7640;3444;69;
Mingo;39;39;4544;5912;45;
Monongalia;92;92;17459;16136;203;
Monroe;17;17;3596;2321;44;
Morgan;13;13;4474;2260;51;
Nicholas;29;29;5389;4718;61;
Ohio;38;38;11539;8406;122;
Pendleton;13;13;2120;1367;11;
Pleasants;11;11;2023;1333;11;
Pocahontas;15;15;2282;1565;35;
Preston;35;35;7813;3944;87;
Putnam;48;48;15587;9223;100;
Raleigh;63;63;18338;11723;149;
Randolph;37;37;6495;4880;61;
Ritchie;15;15;3060;1060;29;
Roane;20;20;3424;2599;39;
Summers;15;15;2963;2489;33;
Taylor;18;18;3839;2590;25;
Tucker;11;11;2151;1382;13;
Tyler;12;12;2770;1386;36;
Upshur;29;29;6134;2998;51;
Wayne;37;37;9998;8363;100;
Webster;14;14;1706;1943;20;
Wetzel;22;22;3609;3293;44;
Wirt;9;9;1712;892;19;
Wood;85;85;24636;13824;187;
Wyoming;39;39;4930;3666;31;
