   County Total Precincts Precincts Reporting Bush Kerry Nader
   Barbour 23 23 3,975 2,636 29
   Berkeley 59 59 20,724 11,888 153
   Boone 37 37 4,163 5,890 50
   Braxton 22 22 2,964 3,014 21
   Brooke 27 27 5,147 5,460 73
   Cabell 68 68 20,777 16,328 225
   Calhoun 10 10 1,569 1,253 25
   Clay 13 13 2,183 1,824 34
   Doddridge 13 13 2,340 792 21
   Fayette 39 39 7,767 8,860 89
   Gilmer 12 12 1,660 1,153 21
   Grant 15 15 4,005 944 17
   Greenbrier 36 36 8,278 6,039 78
   Hampshire 23 23 5,465 2,444 37
   Hancock 28 28 7,224 6,829 90
   Hardy 14 14 3,600 1,606 14
   Harrison 93 93 16,913 13,102 177
   Jackson 38 38 7,604 5,332 61
   Jefferson 29 29 10,442 9,202 89
   Kanawha 183 183 43,777 42,321 348
   Lewis 24 24 3,500 1,863 50
   Lincoln 35 35 4,076 4,033 45
   Logan 52 52 6,513 7,760 45
   Marion 75 75 12,717 12,082 186
   Marshall 45 45 8,443 6,379 102
   Mason 38 38 6,451 5,374 62
   McDowell 42 42 2,729 4,464 26
   Mercer 61 61 12,914 9,052 107
   Mineral 35 35 7,640 3,444 69
   Mingo 39 39 4,544 5,912 45
   Monongalia 92 92 17,459 16,136 203
   Monroe 17 17 3,596 2,321 44
   Morgan 13 13 4,474 2,260 51
   Nicholas 29 29 5,389 4,718 61
   Ohio 38 38 11,539 8,406 122
   Pendleton 13 13 2,120 1,367 11
   Pleasants 11 11 2,023 1,333 11
   Pocahontas 15 15 2,282 1,565 35
   Preston 35 35 7,813 3,944 87
   Putnam 48 48 15,587 9,223 100
   Raleigh 63 63 18,338 11,723 149
   Randolph 37 37 6,495 4,880 61
   Ritchie 15 15 3,060 1,060 29
   Roane 20 20 3,424 2,599 39
   Summers 15 15 2,963 2,489 33
   Taylor 18 18 3,839 2,590 25
   Tucker 11 11 2,151 1,382 13
   Tyler 12 12 2,770 1,386 36
   Upshur 29 29 6,134 2,998 51
   Wayne 37 37 9,998 8,363 100
   Webster 14 14 1,706 1,943 20
   Wetzel 22 22 3,609 3,293 44
   Wirt 9 9 1,712 892 19
   Wood 85 85 24,636 13,824 187
   Wyoming 39 39 4,930 3,666 31
