County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Albany;22;22;8879;7032;296;
Big Horn;13;13;4232;960;46;
Campbell;35;35;12407;2464;125;
Carbon;19;19;4758;2157;89;
Converse;19;19;4446;1183;60;
Crook;17;17;2836;500;27;
Fremont;32;32;11428;5337;179;
Goshen;20;20;4114;1566;52;
Hot Springs;4;4;1811;623;18;
Johnson;17;17;3231;736;38;
Laramie;58;58;25947;13170;421;
Lincoln;18;18;6424;1363;67;
Natrona;46;46;21503;9852;330;
Niobrara;6;6;1064;230;9;
Park;29;29;10660;2939;162;
Platte;13;13;3127;1318;52;
Sheridan;29;29;9635;4041;154;
Sublette;9;9;2846;730;46;
Sweetwater;36;36;10638;5201;229;
Teton;16;16;5124;5971;167;
Uinta;11;11;6080;1812;96;
Washakie;5;5;3200;855;33;
Weston;8;8;2739;580;38;
