   County Total Precincts Precincts Reporting Bush Kerry Nader
   Albany 22 22 8,879 7,032 296
   Big Horn 13 13 4,232 960 46
   Campbell 35 35 12,407 2,464 125
   Carbon 19 19 4,758 2,157 89
   Converse 19 19 4,446 1,183 60
   Crook 17 17 2,836 500 27
   Fremont 32 32 11,428 5,337 179
   Goshen 20 20 4,114 1,566 52
   Hot Springs 4 4 1,811 623 18
   Johnson 17 17 3,231 736 38
   Laramie 58 58 25,947 13,170 421
   Lincoln 18 18 6,424 1,363 67
   Natrona 46 46 21,503 9,852 330
   Niobrara 6 6 1,064 230 9
   Park 29 29 10,660 2,939 162
   Platte 13 13 3,127 1,318 52
   Sheridan 29 29 9,635 4,041 154
   Sublette 9 9 2,846 730 46
   Sweetwater 36 36 10,638 5,201 229
   Teton 16 16 5,124 5,971 167
   Uinta 11 11 6,080 1,812 96
   Washakie 5 5 3,200 855 33
   Weston 8 8 2,739 580 38
