County,<5,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 to 74,>75,White,Black,Asian,Amer Ind/Alaskan,Hawaiian/Pac Isl,Hispanic/Latino,Male :100 Female
UNITED STATES,6.8,13.6,14.2,13.5,14.8,14.3,10.2,6.3,6.1,80.2,12.8,4.3,1,0.2,14.4,97.1
ALABAMA,6.5,13.2,14.2,13.3,14.2,14.5,10.9,7.2,6,71.4,26.4,0.8,0.5,(Z),2.3,94.3
"Autauga, AL                         ",6.5,14.4,14.5,13.2,15.9,14.4,10.4,6.6,4.2,80.7,17.3,0.6,0.5,(Z),1.7,95.2
"Baldwin, AL                         ",5.8,12.4,12.6,13.3,14,14.3,11.4,8.8,7.5,88.4,9.9,0.4,0.5,(Z),2.3,96.9
"Barbour, AL                         ",6,12.7,14.2,13.7,14.9,13.8,11.4,6.9,6.3,52.2,46.8,0.3,0.4,(Z),3.1,110.4
"Bibb, AL                            ",6.1,13.5,12.7,16.2,15.3,13.5,10.6,6.8,5.2,76.8,22.5,0.1,0.3,-,1.4,106.7
"Blount, AL                          ",6,13.3,12.9,14.8,14.6,13.8,11.2,7.8,5.6,97.1,1.5,0.2,0.5,(Z),6.4,99.8
"Bullock, AL                         ",6.5,12.8,15.4,14.8,14.1,14.1,9.9,5.9,6.2,27.8,71.4,0.2,0.4,-,5.9,114.8
"Butler, AL                          ",6.7,13.1,15,10.5,12.8,14.7,11.3,8,8,57.5,41.9,0.3,0.2,-,0.9,89.8
"Calhoun, AL                         ",6.4,12.3,14.5,12.5,13.7,14.9,11.5,7.8,6.5,78.3,19.7,0.7,0.4,0.1,2,92.3
"Chambers, AL                        ",6.1,13.5,11.7,12.7,13.5,14.5,12.2,8.2,7.5,60.8,38.6,0.2,0.1,-,1.2,91.2
"Cherokee, AL                        ",5.3,12,11.2,13.4,13.7,14.4,13.3,9.8,6.9,93.3,5.5,0.3,0.3,-,1.1,95.5
"Chilton, AL                         ",6.3,13.4,13,15.3,14.3,14.2,10.9,7.1,5.4,88.3,10.5,0.3,0.3,(Z),3.7,97.4
"Choctaw, AL                         ",6.1,13.3,13.1,10.6,13.1,14.8,13.4,8.8,6.9,55.7,43.9,0.1,0.1,-,0.8,89.3
"Clarke, AL                          ",6.8,14.7,13.2,11.8,13.9,14.1,11.3,7.8,6.4,55.8,43.7,0.2,0.2,-,0.7,90.3
"Clay, AL                            ",5.3,12.2,12.3,12.4,14,14.1,12.3,9,8.4,84.2,15,0.1,0.3,(Z),2.1,97.3
"Cleburne, AL                        ",5.4,12.8,12.9,13.1,14.8,14.4,12.3,8.5,5.6,95.3,3.8,0.2,0.3,(Z),1.8,100.6
"Coffee, AL                          ",6.1,12.8,12.9,13.6,13.8,14.3,11.9,8,6.4,77.9,18.5,1.1,0.9,0.1,3.3,96.7
"Colbert, AL                         ",5.3,12.6,12.5,12.2,14.1,14.9,12.4,8.6,7.5,81.9,16.7,0.3,0.4,(Z),1.3,92.1
"Conecuh, AL                         ",6.3,13.4,13.2,10.8,13.1,14.9,12.9,7.9,7.6,55.3,44.1,0.1,0.2,(Z),0.9,89.3
"Coosa, AL                           ",5.3,12.6,11.4,12.1,15.2,15.2,12.6,8.5,7.1,67.6,31.6,0.1,0.3,(Z),1.5,100.3
"Covington, AL                       ",6,12.2,12.4,11.7,13.3,14.4,12,9.5,8.4,86.1,12.6,0.3,0.5,(Z),0.9,92.7
"Crenshaw, AL                        ",6.4,12.5,12.6,12.3,13,14.3,11.8,8.7,8.4,74.6,24.6,0.1,0.4,-,0.8,91.1
"Cullman, AL                         ",6,12.7,12.6,14.1,14.4,13.9,11.6,8.2,6.6,97.3,1.2,0.2,0.4,(Z),3.1,98
"Dale, AL                            ",7.7,14.5,13,12.8,14.2,13.9,11,7.6,5.4,75.5,20.9,1.1,0.5,0.2,3.3,98.4
"Dallas, AL                          ",8.2,14.5,15,10.9,12.6,14.7,10.5,7.4,6.2,32.4,66.9,0.3,0.1,(Z),0.7,84
"DeKalb, AL                         ",6.8,13.3,12,14.8,14.2,13.7,11.2,7.7,6.2,96,1.8,0.2,0.8,0.1,9,97.4
"Elmore, AL                          ",6.5,13.1,14.2,15.4,15.7,14.1,10.2,6.2,4.7,77.3,20.7,0.5,0.4,(Z),1.7,103.2
"Escambia, AL                        ",6.4,12.7,13.3,13.5,14.1,14.5,11.4,7.8,6.4,64.3,31.7,0.3,2.9,(Z),1,103.5
"Etowah, AL                          ",6.1,12.6,12.7,13.1,13.5,14.5,11.9,8.1,7.6,83.8,14.6,0.5,0.3,(Z),2.4,92.7
"Fayette, AL                         ",5.6,12.4,12.4,12.5,13.8,14.7,12.4,8.4,7.7,87.4,11.8,0.3,0.2,(Z),0.9,95
"Franklin, AL                        ",6.7,12.8,12.5,14,13.7,13.7,11.3,8.6,6.6,94.1,4.2,0.2,0.4,0.4,10.9,98.7
"Geneva, AL                          ",5.7,11.8,12.4,11.7,14,14.5,12.7,9.2,8,87.8,10.8,0.2,0.7,(Z),2,95.2
"Greene, AL                          ",7.1,15.3,14.3,10.9,12.3,15.8,10.2,6.8,7.3,19.9,79.7,0.1,0.1,(Z),0.7,87.6
"Hale, AL                            ",6.2,14.6,15.2,13.8,14.3,13.6,9.7,6.6,6.1,40.3,59.2,0.1,0.1,(Z),0.9,102
"Henry, AL                           ",6.3,12.4,12.6,12.4,13.1,14.4,12.8,8.3,7.7,67.6,31.7,(Z),0.2,(Z),2.1,93
"Houston, AL                         ",7,13.3,12.6,13,14.2,14.6,11.2,7.4,6.6,72.2,25.9,0.7,0.4,(Z),1.6,91.6
"Jackson, AL                         ",5.9,12.7,11.6,13.5,14.2,14.8,12.6,8.6,6.1,92.6,3.8,0.3,1.6,(Z),1.6,95.4
"Jefferson, AL                       ",6.8,12.9,13.6,13.2,14.2,15.3,10.5,6.7,6.7,56.8,41.2,1,0.2,(Z),2.3,90.1
"Lamar, AL                           ",5.4,11.9,11.7,12.5,14.3,14.5,12.6,9.4,7.7,88.1,11.4,0.1,0.2,(Z),1.5,95
"Lauderdale, AL                      ",5.5,11.9,14.3,12.4,13.8,14.5,11.7,8.6,7.4,88.9,9.7,0.4,0.3,(Z),1.2,91.8
"Lawrence, AL                        ",5.8,13.2,12.8,12.9,16.1,14.4,12.1,7.5,5.3,79.5,12.1,0.1,5.4,(Z),1.4,95.9
"Lee, AL                             ",5.6,11.9,25.9,15.6,12.8,11.7,8.2,4.9,3.5,74.1,23,1.8,0.2,(Z),1.6,96.8
"Limestone, AL                       ",5.8,13.1,13.2,14.6,16.3,14.4,11,6.8,4.9,85.1,13.2,0.5,0.5,(Z),3.3,103.5
"Lowndes, AL                         ",7.7,14.4,15,11.4,14.1,14.4,10.2,7.3,5.6,27.9,71.7,0.1,0.1,(Z),0.8,87.7
"Macon, AL                           ",5.5,12.8,22.9,10.7,10.1,13.2,10.5,6.8,7.6,15.7,82.8,0.9,0.1,(Z),1,86.1
"Madison, AL                         ",6.1,13.5,14.6,12.6,15.9,14.9,10.6,7.2,4.8,71.7,23.5,2,0.8,0.1,2.2,96.2
"Marengo, AL                         ",7,14.5,14,11.4,13,14.6,11.3,7.7,6.5,47.1,52.2,0.3,0.1,(Z),1.8,91
"Marion, AL                          ",5.7,11.7,11.2,13.4,14.2,14,12.8,9.1,7.9,95,3.9,0.2,0.3,0.1,1.5,99
"Marshall, AL                        ",7.5,13.3,12.1,14,14.2,13.8,11.2,7.9,6,96.6,1.6,0.3,0.5,0.1,8.7,95.7
"Mobile, AL                          ",7.3,14.4,14.4,13,13.6,14.5,10.6,6.6,5.6,62.2,34.5,1.6,0.7,(Z),1.3,92.1
"Monroe, AL                          ",6.5,14.9,13.5,11.7,13.4,14.7,11,7.5,6.7,57,41,0.3,1,-,0.8,92.8
"Montgomery, AL                      ",7.5,13.5,16.1,13,13.9,14.2,10.1,6.2,5.6,45.1,52.5,1.2,0.2,(Z),1.4,91.5
"Morgan, AL                          ",6.4,13.2,12.8,12.8,15.3,15,11.5,7.4,5.8,85.7,11.8,0.6,0.7,0.1,4.7,97
"Perry, AL                           ",8.6,15,17.9,10.8,11.1,12.3,10.1,7.7,6.5,30,69.6,-,0.1,0.1,1.1,85.7
"Pickens, AL                         ",6.5,13.9,13.8,11,13.3,14.3,11.1,8.6,7.4,57.2,42.4,0.1,0.1,(Z),0.8,89.1
