County,"""00 Total Household","""00 w/ <18","""00 Total People","""00 w/ HS","""00 w/ Bachelor","""00 % Foreign Born","""00 % >5 Not Eng","""00 % Not Moved","""00 % No Carpool ","""99 House w/ I > $75k","""04 Poverty","""00 Poverty"
UNITED STATES,"105,480,101",36,"182,211,639",80.4,24.4,11.1,17.9,54.1,75.7,22.5,12.7,11.3
ALABAMA,"1,737,080",36.1,"2,887,400",75.3,19,2,3.9,57.4,83,15.4,16.1,14.6
"Autauga, AL                         ","16,003",43,"27,589",78.7,18,1.2,2.8,55.1,83.2,18.1,11.6,10.5
"Baldwin, AL                         ","55,336",34.5,"96,010",82,23.1,2.1,4,53.2,82.8,18.9,10,9.7
"Barbour, AL                         ","10,409",38.1,"18,896",64.7,10.9,1.5,3.6,60.5,78.7,10.6,23.9,22.2
"Bibb, AL                            ","7,421",38.5,"13,540",63.2,7.1,0.4,1.8,64.3,79.5,10.9,17.1,17.8
"Blount, AL                          ","19,265",37.6,"33,702",70.4,9.6,3.1,5.6,59.4,78.8,12.6,12.4,12
"Bullock, AL                         ","3,986",39.4,"7,570",60.5,7.7,3.1,6.1,59.4,71.3,6.8,30.3,28.6
"Butler, AL                          ","8,398",37.1,"13,767",67.8,10.4,0.4,2.2,62.2,78.9,9.3,21,20.7
"Calhoun, AL                         ","45,307",33.5,"74,015",73.9,15.2,1.7,3.5,57.1,85.1,12.2,16.9,15.1
"Chambers, AL                        ","14,522",34.9,"24,497",64.2,9.5,0.8,2.3,63.6,82.1,8.2,17.2,15.4
"Cherokee, AL                        ","9,719",32.2,"16,825",63.5,9.7,1.1,2.1,63.4,81.5,9.5,16.1,15.6
"Chilton, AL                         ","15,287",38,"25,902",66.2,9.9,1.9,3.6,61.8,78.9,11.4,14.8,15.3
"Choctaw, AL                         ","6,363",37,"10,569",65,9.6,0.6,2.1,69.7,75.3,10.3,20.2,18.8
"Clarke, AL                          ","10,578",39.8,"17,702",70.8,12.1,0.5,2.1,69.8,80.4,12.2,20.9,19.1
"Clay, AL                            ","5,765",34.1,"9,767",66,7.8,0.9,2.8,68.1,83.9,7,13.9,14.3
"Cleburne, AL                        ","5,590",36.2,"9,533",62.9,9.2,0.9,2.6,66.9,80.2,8.7,14.7,14.4
