"Obama" "Clinton"
"Autauga, AL" 2268 1760
"Baldwin, AL" 5450 6259
"Barbour, AL" 2393 1322
"Bibb, AL" 755 922
"Blount, AL" 617 2735
"Bullock, AL" 2032 471
"Butler, AL" 1557 1143
"Calhoun, AL" 5471 5942
"Chambers, AL" 2409 1448
"Cherokee, AL" 485 2040
"Chilton, AL" 1131 1911
"Choctaw, AL" 1720 672
"Clarke, AL" 2390 1273
"Clay, AL" 555 1047
"Cleburne, AL" 237 888
"Coffee, AL" 1591 1718
"Colbert, AL" 3150 4729
"Conecuh, AL" 1527 796
"Coosa, AL" 1116 691
"Covington, AL" 960 1717
"Crenshaw, AL" 791 797
"Cullman, AL" 1256 5517
"Dale, AL" 1655 1423
"Dallas, AL" 6833 2174
"DeKalb, AL" 953 4272
"Elmore, AL" 2981 2344
"Escambia, AL" 1415 1457
"Etowah, AL" 4314 7350
"Fayette, AL" 669 1460
"Franklin, AL" 651 2731
"Geneva, AL" 571 956
"Greene, AL" 2086 483
"Hale, AL" 2206 915
"Henry, AL" 1138 671
"Houston, AL" 3561 2718
"Jackson, AL" 1061 5505
"Jefferson, AL" 73389 27344
"Lamar, AL" 398 1009
"Lauderdale, AL" 3539 7201
"Lawrence, AL" 4097 7003
"Lee, AL" 7567 4016
"Limestone, AL" 3210 4720
"Lowndes, AL" 2408 725
"Macon, AL" 4783 929
"Madison, AL" 23524 15188
"Marengo, AL" 2589 1107
"Marion, AL" 468 2571
"Marshall, AL" 1398 5436
"Mobile, AL" 27350 13636
"Monroe, AL" 2006 929
"Montgomery, AL" 25731 8629
"Morgan, AL" 4097 7003
"Perry, AL" 1665 932
"Pickens, AL" 1934 915
"Pike, AL" 2053 1153
"Randolph, AL" 969 1317
"Russell, AL" 3641 2052
"Shelby, AL" 7199 5597
"St. Clair, AL" 1799 3271
"Sumter, AL" 2023 683
"Talladega, AL" 5191 3818
"Tallapoosa, AL" 2556 1857
"Tuscaloosa, AL" 12044 7319
"Walker, AL" 1672 6514
"Washington, AL" 1098 1097
"Wilcox, AL" 2227 635
"Winston, AL" 234 1641
"Apache, AZ" 1977 3768
"Cochise, AZ" 3657 4719
"Coconino, AZ" 6410 4884
"Gila, AZ" 2102 2839
"Graham, AZ" 904 1027
"Greenlee, AZ" 383 574
"La Paz, AZ" 359 581
"Maricopa, AZ" 108235 125553
"Mohave, AZ" 3237 6541
"Navajo, AZ" 2838 3834
"Pima, AZ" 43126 48475
"Pinal, AZ" 7542 10768
"Santa Cruz, AZ" 1175 2201
"Yavapai, AZ" 7288 6932
"Yuma, AZ" 2448 5462
"Arkansas, AR" 499 2017
"Ashley, AR" 721 1823
"Baxter, AR" 1163 2895
"Benton, AR" 3169 8563
"Boone, AR" 596 2479
"Bradley, AR" 447 1099
"Calhoun, AR" 167 552
"Carroll, AR" 782 1868
"Chicot, AR" 681 758
"Clark, AR" 864 2385
"Clay, AR" 209 2474
"Cleburne, AR" 456 2779
"Cleveland, AR" 136 1116
"Columbia, AR" 769 1430
"Conway, AR" 620 2068
"Craighead, AR" 1362 7345
"Crawford, AR" 728 3977
"Crittenden, AR" 1987 1807
"Cross, AR" 397 1400
"Dallas, AR" 428 761
"Desha, AR" 583 1185
"Drew, AR" 654 1587
"Faulkner, AR" 2372 6574
"Franklin, AR" 284 1919
"Fulton, AR" 235 1346
"Garland, AR" 2618 8702
"Grant, AR" 193 1953
"Greene, AR" 411 4111
"Hempstead, AR" 508 1696
"Hot Spring, AR" 725 3527
"Howard, AR" 334 1180
"Independence, AR" 493 3422
"Izard, AR" 221 1462
"Jackson, AR" 353 2139
"Jefferson, AR" 4730 6236
"Johnson, AR" 420 2559
"Lafayette, AR" 281 613
"Lawrence, AR" 188 2025
"Lee, AR" 648 609
"Lincoln, AR" 337 1110
"Little River, AR" 359 1265
"Logan, AR" 321 2117
"Lonoke, AR" 980 4302
"Madison, AR" 309 1621
"Marion, AR" 473 1201
"Miller, AR" 883 2254
"Mississippi, AR" 1170 2762
"Monroe, AR" 473 887
"Montgomery, AR" 184 849
"Nevada, AR" 407 887
"Newton, AR" 170 653
"Ouachita, AR" 1371 2236
"Perry, AR" 198 1270
"Phillips, AR" 1357 1258
"Pike, AR" 99 1076
"Poinsett, AR" 262 2749
"Polk, AR" 348 1321
"Pope, AR" 736 3346
"Prairie, AR" 163 1101
"Pulaski, AR" 22897 30328
"Randolph, AR" 221 2224
"Saint Francis, AR" 1504 1602
"Saline, AR" 2022 9230
"Scott, AR" 212 1145
"Searcy, AR" 84 531
"Sebastian, AR" 2121 7024
"Sevier, AR" 179 1080
"Sharp, AR" 316 2065
"Stone, AR" 213 1270
"Union, AR" 1254 2244
"Van Buren, AR" 300 1715
"Washington, AR" 5019 12028
"White, AR" 872 5181
"Woodruff, AR" 271 1114
"Yell, AR" 257 1826
"Alameda, CA" 136618 116306
"Alpine, CA" 127 87
"Amador, CA" 2165 2948
"Butte, CA" 11324 11550
"Calaveras, CA" 2171 2895
"Colusa, CA" 620 1042
"Contra Costa, CA" 73532 82978
"Del Norte, CA" 1048 1277
"El Dorado, CA" 8752 9378
"Fresno, CA" 19352 34320
"Glenn, CA" 916 1361
"Humboldt, CA" 9887 7082
"Imperial, CA" 2192 5355
"Inyo, CA" 839 911
"Kern, CA" 19327 33188
"Kings, CA" 2817 5303
"Lake, CA" 3083 4789
"Lassen, CA" 1134 1124
"Los Angeles, CA" 525862 699743
"Madera, CA" 3592 6020
"Marin, CA" 32076 22517
"Mariposa, CA" 1041 1164
"Mendocino, CA" 4809 4615
"Merced, CA" 6347 11332
"Modoc, CA" 424 478
"Mono, CA" 880 605
"Monterey, CA" 17976 24584
"Napa, CA" 6807 8629
"Nevada, CA" 6413 5206
"Orange, CA" 111865 163066
"Placer, CA" 17325 19786
"Plumas, CA" 1517 1333
"Riverside, CA" 46987 80587
"Sacramento, CA" 73636 72829
"San Benito, CA" 2087 3829
"San Bernardino, CA" 57679 97354
"San Diego, CA" 155644 178843
"San Francisco, CA" 104924 89749
"San Joaquin, CA" 20141 32271
"San Luis Obispo, CA" 19994 16633
"San Mateo, CA" 47956 56276
"Santa Barbara, CA" 30504 25382
"Santa Clara, CA" 103313 138028
"Santa Cruz, CA" 27881 20742
"Shasta, CA" 7027 8636
"Sierra, CA" 245 200
"Siskiyou, CA" 2786 2248
"Solano, CA" 23706 25956
"Sonoma, CA" 44020 40709
"Stanislaus, CA" 15106 28119
"Sutter, CA" 2289 3537
"Tehama, CA" 1691 2735
"Trinity, CA" 904 772
"Tulare, CA" 6795 13553
"Tuolumne, CA" 3296 4101
"Ventura, CA" 42439 56145
"Yolo, CA" 14561 13873
"Yuba, CA" 1577 2282
"Adams, CO" 2792 2542
"Alamosa, CO" 166 72
"Arapahoe, CO" 7990 4175
"Archuleta, CO" 184 56
"Baca, CO" 12 28
"Bent, CO" 32 32
"Boulder, CO" 13100 4426
"Broomfield, CO" 817 420
"Chaffee, CO" 309 140
"Cheyenne, CO" 7 12
"Clear Creek, CO" 232 95
"Conejos, CO" 83 87
"Costilla, CO" 46 72
"Crowley, CO" 49 30
"Custer, CO" 45 20
"Delta, CO" 297 114
"Denver, CO" 17942 7806
"Dolores, CO" 33 14
"Douglas, CO" 3326 1960
"Eagle, CO" 414 150
"Elbert, CO" 104 68
"El Paso, CO" 5455 2298
"Fremont, CO" 336 319
"Garfield, CO" 675 249
"Gilpin, CO" 166 64
"Grand, CO" 188 104
"Gunnison, CO" 230 84
"Hinsdale, CO" 23 7
"Huerfano, CO" 126 67
"Jackson, CO" 8 12
"Jefferson, CO" 9101 5208
"Kiowa, CO" 8 11
"Kit Carson, CO" 22 52
"Lake, CO" 101 36
"La Plata, CO" 1170 285
"Larimer, CO" 6192 2403
"Las Animas, CO" 122 181
"Lincoln, CO" 31 23
"Logan, CO" 58 76
"Mesa, CO" 1284 831
"Mineral, CO" 22 16
"Moffat, CO" 62 32
"Montezuma, CO" 307 137
"Montrose, CO" 259 147
"Morgan, CO" 90 98
"Otero, CO" 116 110
"Ouray, CO" 165 37
"Park, CO" 210 94
"Phillips, CO" 27 26
"Pitkin, CO" 431 124
"Prowers, CO" 40 59
"Pueblo, CO" 1035 1413
"Rio Blanco, CO" 38 15
"Rio Grande, CO" 61 38
"Routt, CO" 428 148
"Saguache, CO" 80 87
"San Juan, CO" 18 8
"San Miguel, CO" 333 52
"Sedgwick, CO" 7 14
"Summit, CO" 365 221
"Teller, CO" 230 105
"Washington, CO" 18 11
"Weld, CO" 1660 920
"Yuma, CO" 66 46
"Andover, CT" 172 185
"Ansonia, CT" 566 966
"Ashford, CT" 280 298
"Avon, CT" 1068 964
"Barkhamsted, CT" 216 166
"Beacon Falls, CT" 181 282
"Berlin, CT" 1005 1560
"Bethany, CT" 347 292
"Bethel, CT" 699 714
"Bethlehem, CT" 235 152
"Bloomfield, CT" 3449 1321
"Bolton, CT" 342 301
"Bozrah, CT" 135 147
"Branford, CT" 1640 1652
"Bridgeport, CT" 6528 4925
"Bridgewater, CT" 128 95
"Bristol, CT" 2588 3681
"Brookfield, CT" 512 583
"Brooklyn, CT" 270 321
"Burlington, CT" 465 391
"Canaan, CT" 124 92
"Canterbury, CT" 169 221
"Canton, CT" 681 518
"Chaplin, CT" 116 118
"Cheshire, CT" 1344 1313
"Chester, CT" 355 243
"Clinton, CT" 640 655
