"Year","Vehicles","Tech/Financial","Food","Films","Apparel","Consumer goods","Travel","Drugs","Credit cards","Beverages","Humor","Animals","Celebrities"
"1984",10,13,3,0,0,5,1,1,0,9,0.36,0.14,0.17
"1985",6,16,4,1,0,5,2,3,0,9,0.37,0.15,0.17
"1986",9,10,4,2,0,4,5,0,2,10,0.41,0.15,0.15
"1987",9,9,4,1,2,5,4,2,1,11,0.4,0.17,0.21
"1988",8,10,4,0,1,6,4,4,1,8,0.45,0.14,0.27
"1989",12,3,6,0,1,6,5,0,1,15,0.47,0.16,0.2
"1990",8,5,6,0,1,3,4,0,1,13,0.41,0.12,0.29
"1991",1,3,2,2,6,8,6,4,1,13,0.46,0.15,0.24
"1992",5,3,3,2,6,3,1,4,0,15,0.48,0.14,0.31
"1993",10,2,1,4,5,5,2,0,0,14,0.49,0.12,0.33
"1994",6,1,2,3,5,3,4,0,1,14,0.59,0.13,0.36
"1995",10,1,5,2,5,4,1,2,0,10,0.55,0.2,0.25
"1996",10,2,8,2,3,5,0,3,4,10,0.57,0.19,0.21
"1997",5,6,4,8,2,6,1,5,1,14,0.5,0.21,0.27
"1998",6,9,5,7,2,0,4,0,4,15,0.52,0.29,0.29
"1999",6,11,4,9,2,2,2,1,4,11,0.54,0.21,0.25
"2000",4,23,1,7,0,0,1,0,2,12,0.52,0.24,0.26
"2001",3,16,4,7,1,1,2,1,3,11,0.47,0.24,0.24
"2002",3,12,6,11,2,0,1,1,2,12,0.42,0.16,0.34
"2003",4,8,3,12,3,2,1,0,3,16,0.52,0.15,0.4
"2004",8,12,1,9,0,4,1,3,2,16,0.56,0.14,0.35
"2005",5,8,8,10,0,6,1,1,3,13,0.62,0.22,0.38
"2006",6,14,4,11,0,6,2,1,1,13,0.69,0.21,0.34
"2007",7,14,6,6,2,2,2,2,0,15,0.72,0.16,0.28
"2008",8,12,5,7,2,2,1,0,0,16,0.83,0.43,0.32
